,Unnamed: 0,begin,end,filename,shot_id,transcript,daily life,score
15021,15021,01:58:36:10,01:58:42:01,5264050645694159353.xml,2172,This always happens.  I've a good mind to get it cut off  and dyed an' all.  I'm sick of it!,0.9955693483352661,0.9955693483352661
17239,17239,01:37:46:17,01:37:49:02,5266645664934403562.xml,1808,It's just routine.  I told you. ,0.9954504370689392,0.9954504370689392
22469,22469,01:15:43:23,01:15:48:09,5274434588125702436.xml,1376,"Yeah, like we always do. ",0.9954079389572144,0.9954079389572144
1910,1910,01:44:17:06,01:44:18:17,5245830105934359183.xml,1911,Always is with your lot. ,0.9948979616165161,0.9948979616165161
12416,12416,01:32:58:09,01:33:00:01,5258818087037440299.xml,1785,"Typical!  Right, downstairs,  everybody.  We'll open a bottle or two down there.",0.9946963787078857,0.9946963787078857
16907,16907,01:20:09:07,01:20:10:10,5266645664934403562.xml,1476,"It's just my act, it's just  what Mrs Beale does.",0.9927219748497009,0.9927219748497009
21549,21549,00:25:37:12,00:25:38:10,5274434588125702436.xml,456,"The rest of him's already headed  there. Happens to us all, love. Not my Phil, luckily.",0.9924038052558899,0.9924038052558899
17023,17023,01:26:05:15,01:26:07:10,5266645664934403562.xml,1592,It's probably just routine. ,0.9921357035636902,0.9921357035636902
17808,17808,00:13:08:07,00:13:13:11,5269245838135402929.xml,272,I'm going to be living my life  every day waiting for it to happen.,0.9902788996696472,0.9902788996696472
3050,3050,00:49:29:10,00:49:35:06,5248439298566680341.xml,970,"Kids say nasty things to each other.  It's part of growing up, happens all the time.",0.9899250864982605,0.9899250864982605
7874,7874,01:10:37:19,01:10:40:17,5253646087419594905.xml,1265,"Why don't we leave Bradley  and Stacey to discuss it.  After all, it is their day, isn't it?",0.9872696399688721,0.9872696399688721
925,925,00:50:55:14,00:50:59:03,5245830105934359183.xml,926,"Same again, Roxy love. ",0.9842768311500549,0.9842768311500549
14950,14950,01:55:12:04,01:55:16:23,5264050645694159353.xml,2101,I don't have a choice!  We're either going or we're not.,0.9831088781356812,0.9831088781356812
2356,2356,00:14:42:15,00:14:43:24,5248439298566680341.xml,276,Gonna have to deal with it. ,0.983033299446106,0.983033299446106
9222,9222,00:30:29:11,00:30:35:24,5256228221757951173.xml,511,"What am I gonna do now?  Look, just concentrate on getting through today.",0.9806656837463379,0.9806656837463379
9593,9593,00:50:50:18,00:50:52:19,5256228221757951173.xml,882,"You saw the best in him.  You always do...  with Jase, with Rob.",0.9776803255081177,0.9776803255081177
3069,3069,00:50:28:14,00:50:31:00,5248439298566680341.xml,989,Just like we're all going to die. ,0.9755866527557373,0.9755866527557373
730,730,00:40:25:21,00:40:28:12,5245830105934359183.xml,731,"I just thought seeing  as you work opposite each other, you see him everyday...",0.9737358689308167,0.9737358689308167
15796,15796,00:18:55:20,00:18:59:08,5266645664934403562.xml,365,"Everywhere I've been today,  it's been Max this and Jack that.",0.973617672920227,0.973617672920227
11143,11143,00:24:14:04,00:24:16:23,5258818087037440299.xml,512,So...?  Just had one of those days.,0.9735062122344971,0.9735062122344971
