,Unnamed: 0,begin,end,filename,shot_id,transcript,death relative,score
9236,9236,00:31:16:19,00:31:20:11,5256228221757951173.xml,525,"It's Jase's funeral today, innit.  Oh.  I'm sorry, mate. ",99.92238283157349,99.92238283157349
23079,23079,01:51:57:02,01:51:59:09,5274434588125702436.xml,1986,and Uncle Jack's just left us. ,99.8932957649231,99.8932957649231
11046,11046,00:19:53:01,00:19:56:13,5258818087037440299.xml,415,"It ain't his fault  he lost his dad, is it?",99.89162683486938,99.89162683486938
15086,15086,02:02:58:23,02:03:01:22,5264050645694159353.xml,2237,"She's dead now.  But we were close,  when we were little.",99.8899519443512,99.8899519443512
12276,12276,01:22:55:10,01:22:56:24,5258818087037440299.xml,1645,"Right, I better get over the Vic. ",99.85129237174988,99.85129237174988
9457,9457,00:43:30:01,00:43:31:21,5256228221757951173.xml,746,"You killed my dad, Dawn.  And I hate ya!",99.84764456748962,99.84764456748962
14095,14095,01:05:28:08,01:05:31:10,5264050645694159353.xml,1246,"Lauren, it was your dad... ",99.84541535377502,99.84541535377502
17210,17210,01:36:34:13,01:36:36:09,5266645664934403562.xml,1779,"Brian?  That Sean's dad, is it?  Yeah.  He passed away some time ago.",99.8289167881012,99.8289167881012
4744,4744,00:22:08:17,00:22:17:13,5251033029316736209.xml,428,My dad's uncle died  when I was in prison.,99.81853365898132,99.81853365898132
8932,8932,00:13:01:04,00:13:04:16,5256228221757951173.xml,221,TONY: We're home!  Pat's having some ceremony for Frank.  Apparently she left you a message.,99.81606006622314,99.81606006622314
62,62,00:03:38:05,00:03:57:18,5245830105934359183.xml,63,"You OK?  Yeah, I am,  but Max isn't gonna be. ",99.8073935508728,99.8073935508728
16980,16980,01:23:40:15,01:23:47:23,5266645664934403562.xml,1549,"I'll leave you to say goodbye to  your father on your own, all right?",99.74507689476013,99.74507689476013
18580,18580,01:00:39:20,01:00:42:03,5269245838135402929.xml,1044,Max is dead. ,99.74326491355896,99.74326491355896
19351,19351,00:17:01:07,00:17:04:00,5271844722846213628.xml,321,I was nearly five when I lost my mum. ,99.73007440567017,99.73007440567017
8906,8906,00:10:50:19,00:10:56:09,5256228221757951173.xml,195,"And what about you?  Frank still  there is he, in your heart? No.",99.67568516731262,99.67568516731262
13848,13848,00:50:31:07,00:50:33:05,5264050645694159353.xml,999,"I beg your pardon?  I'm sorry, Grandma.",99.65291619300842,99.65291619300842
3572,3572,01:13:33:11,01:13:37:11,5248439298566680341.xml,1492,"You've gotta do it in front of  people sometimes.  Don't be shy. All right, it's the bit where  he kills her cousin.",99.61907863616943,99.61907863616943
12463,12463,01:36:08:16,01:36:10:23,5258818087037440299.xml,1832,"Well, it's a good job Jack  was passing when he was.",99.61321949958801,99.61321949958801
17314,17314,01:42:43:05,01:42:50:10,5266645664934403562.xml,1883,"Lauren, will you have a seat, please.  Before we eat,  I thought it might be nice  to say a little prayer for Max,",99.58539009094238,99.58539009094238
6249,6249,01:38:10:00,01:38:12:20,5251033029316736209.xml,1933,What about your dad? ,99.5796263217926,99.5796263217926
18640,18640,01:04:32:06,01:04:34:22,5269245838135402929.xml,1104,and now they lose their Mum.  Don't put that on me.,99.54665303230286,99.54665303230286
3066,3066,00:50:21:09,00:50:22:15,5248439298566680341.xml,986,"You don't think he would, do you?  Do what? Kill Musty.",99.53336119651794,99.53336119651794
3069,3069,00:50:28:14,00:50:31:00,5248439298566680341.xml,989,Just like we're all going to die. ,99.50484037399292,99.50484037399292
9151,9151,00:25:31:09,00:25:34:01,5256228221757951173.xml,440,It's about you clinging on  to something that's long gone.,99.48856830596924,99.48856830596924
3547,3547,01:12:25:08,01:12:28:15,5248439298566680341.xml,1467,D'you wanna say goodbye?  Just take her.,99.48132634162903,99.48132634162903
18651,18651,01:05:45:16,01:05:50:00,5269245838135402929.xml,1115,Your brother's dead because of you. ,99.46560263633728,99.46560263633728
2810,2810,00:38:24:04,00:38:27:00,5248439298566680341.xml,730,"No flaming way!  Come on, Ronnie, I'm getting it in the neck from Auntie Peg.",99.44009780883789,99.44009780883789
12238,12238,01:20:56:18,01:21:02:03,5258818087037440299.xml,1607,You lost a baby? ,99.43550825119019,99.43550825119019
19411,19411,00:19:50:21,00:19:53:00,5271844722846213628.xml,381,"Oh, don't say that.  She's gone, Ronnie.  I know she is.",99.43534135818481,99.43534135818481
