video_id,caption,label
0-s03e12,no dialogue,0
1-s03e12,lead_man_1 i do nt think i can get a clear shot man_2_on_right it s a peregrine falcon man_3_on_left no  it s not man_3_on_left it s a hawk lead_man_1 you ca nt see anything this time of day lead_man_1 we should come back at dawn man_2_on_right but i m so behind on my life list man_2_on_right i still do nt have a western woodpewee or a solitary sandpiper lead_man what  do you think they re going to kick you out of the club  man_2_on_right john saw a dickcissel earlier today man_2_on_right it could be gone tomorrow lead_man john s full of lead_man corvus corax man_2_on_right a common raven  man_2_on_right so what ,0
2-s03e12,no dialogue,0
3-s03e12,grissom well  someone s missing a contact lens catherine that s not all they re missing grissom you know  ravens  like eagles  have been known to travel 30 miles from roost to feeding ground catherine 30 miles in every direction catherine pirsquared catherine that means that we re looking at a  2800 mile search area grissom once upon a midnight dreary while i pondered weak and weary over many a quaint and curious volume of forgotten lore  catherine we re up a tree and you re quoting poe catherine give me something grissom quoth the raven  only this  and nothing more ,0
4-s03e12,no dialogue,0
5-s03e12,grissom you ll be pleased to know the eyeball was only slightly desiccated catherine and what about the iris  grissom still blue catherine color distinction means the body s been dead less than 48 hours yeah  i sent some vitreous fluid to tox grissom the rest to dna grissom so  can you get me an eye for an eye  catherine well  i ve got foil  a leaf  a feather and plastic grissom feathers grissom for warmth catherine seagull feathers grissom well  the only place we d have seagulls around here would be lake mead catherine but only when the fishing s good catherine and we got some ground limestone grissom not found at lake mead grissom you know  ravens are incredibly intelligent grissom they have a brain capacity comparable to dolphins catherine means they know where to shop catherine we found the eye here catherine i bet she shopped here where limestone is used as ground cover,0
6-s03e12,sara you know the average nevadan generates more waste more than three times waste than the average american  nick yeah  well  that s tourist trash sara thirteen million pounds per day sara i went to the recycling forum in march catherine the landfill manager says this is the active cell catherine spotter says cell lift moves forward 20 feet a day catherine that puts the active cell right  pretty much in front of us nick man  nick you find the best evidence in the nastiest places catherine you are what you throw away sara it s like peeling an onion into peoples  lives catherine well  this onion is our time line so peel back accordingly,0
7-s03e12,robbins the electrolyte and glucose levels in the eye were normal robbins means your victim was nt dehydrated or diabetic robbins other than that grissom  we re flying blind grissom david david_phillips grissom grissom just routine autopsy grissom go for it david_phillips yeah  we re all set  dr robbins robbins okay  david robbins case 03615 robbins postmortem exam of an adult robbins caucasian robbins male robbins identified as fred stearns robbins body received warm to the touch robbins rigor mortis not present robbins skull nose  bones are intact by palpation robbins irides are brown robbins slightly congested robbins hmm robbins unidentified dry black substance on the front of the teeth robbins gingiva and lips robbins okay robbins david  open him up david uh  ddr robbins  robbins hmm  david sir  ii have blood david i have bleeding robbins get me my kit robbins come on robbins hold this robbins let s go robbins keep it tight robbins that s good  david robbins pulse is rising robbins david  string me a suture needle robbins go  robbins go ,1
8-s03e12,catherine i think i may have something here  sara what ve you got  nick whoa  catherine got a leg nick obviously female catherine obviously nick whew nick i ll bag it sara all right sara i got a torso and head sara missing an eye catherine okay  so  uh how hot do you think it is  underneath all this trash  nick i do nt know  what do you think  ballpark at 120 degrees  catherine so this is yesterday s trash catherine dead body catherine minimum 18 hours in this heat sara she should be totally bloated catherine yeah  she s not nick yeah  she s really torn up sara bulldozers are vicious catherine yeah  i think they only finished the job catherine how did she get here ,0
9-s03e12,catherine heard you got to be superhero today robbins i consider myself a superhero every day catherine got anything on our lady of the dump  robbins cod robbins is still indeterminate robbins blunt force trauma is a possibility robbins she has some perimortem bruising around the left eye robbins but limb removal is relatively clean robbins definitely postmortem catherine so we ve got no arms  no prints catherine what kind of identifying characteristics do we have  robbins second degree midline episiotomy scar catherine well  that narrows it down to more than half the women in this country who gave birth robbins but there might be one other thing robbins at first i thought appendectomy  but check out her x ray robbins she s had surgery robbins some kind of implant at the l4l5 interspace robbins i ll know more when i open her up catherine you re my hero  al,0
10-s03e12,sara all right  what do we know  nick that all of this trash was found around the victim nick and she was buried with some very expensive trash sara yeah  there s nothing wrong with this frying pan sara could ve gone to goodwill or someplace nick home pregnancy test nick negative nick better luck next time sara someone  does not like frozen peas nick they were nt shopping at costco nick they paid way too much for ice cream sara there s a good chance our vic was wearing this shirt nick let s start trying to narrow this down to a neighborhood  huh  sara excellent idea sara uh  marker or sort  nick sort nick please nick first up  178 spaulding meadows  uh  174 storm cloud lane  a second 174 storm cloud lane ,0
11-s03e12,robbins pulled it from the l4l5 interspace robbins cobalt chromium molybdenum alloy with a titanium coating and an ultra high molecular weight polyethylene component robbins an artificial spinal disc robbins if you can recreate a spine the possibilities are endless catherine i thought  uh  disc replacement surgery involved fusing bone to bone robbins eh  typically  but it can limit mobility robbins with that little disc  your body does nt know the difference robbins matches range of motion  flexibility and an axial rotation of a normal spine robbins still in clinical trials robbins less than a thousand surgeries have been performed in this country catherine oh  well  i like those odds robbins you ll like this even better robbins medium endplate  size 12  polyethylene component and a sixdegree lordosis angle robbins narrowed it down to one robbins amyennis robbins austin  texas catherine tourist  robbins that s for you to find out,1
12-s03e12,nick hey  is this all of them  catherine yeah  every last one on storm cloud lane sara cans are on private property  it s not trash day  how did you get consent  catherine i talked to the president of the owner s association nick what d you threaten her with  catherine a return visit sara hey  guys  sara i got blood nick yeah nick yeah me  too catherine well  that makes five,0
13-s03e12,catherine let s see if any of it s human nick these two are human,0
14-s03e12,sara if the vic was in here blood would have pooled to the bottom nick yeah  and blood dripped down the side of this one as the hydraulic arm dumped it sara this is our can catherine and that s our house,0
15-s03e12,daniel_easton you found blood  in my trash can  catherine any idea how it got there  daniel_easton no catherine do you know an amyennis from austin  texas  daniel_easton no catherine so  you have absolutely no idea what i m talking about  nora_easton dad  you all right  daniel_easton i m fine nora_easton what s going on  catherine i m just asking your father a few questions daniel_easton why do nt you go inside and make some dinner  nora_easton what are you in the mood for  daniel_easton whatever you want daniel_easton charlie  homework charlie_easton hey charlie_easton get the job  daniel_easton later catherine divorced  daniel_easton yeah daniel_easton five years,0
16-s03e12,warrick i hear david s resurrecting the dead now grissom yeah  our little miracle worker warrick i just came from the hospital warrick that guy s in icu with respiratory paralysis warrick i did get a prelim on his blood work  looks like some sort of an organic poison grissom well  that would explain the discoloration robbins found around his mouth marty_gibson i m telling you  this is great marty_gibson you re going to love this marty_gibson 30 miles to the gallon  very low maintenance marty_gibson your people are going to love it marty_gibson you know what  marty_gibson i want you to tell them to throw away the manuals marty_gibson call me for anything marty_gibson martygibson does nt close a sale  he opens a relationship warrick that guy s a charmer grissom yeah  real ricky roma,1
17-s03e12,nancy_linden may i help you  gentlemen  warrick i m warrick brown  this is gil grissom warrick we re from the lasvegas crime lab nancy_linden oh nancy_linden nancilinden nancy_linden it s a pleasure to meet you grissom we have a warrant to search your premises nancy_linden what for  grissom for evidence concerning the attempted murder of fred stearns nancy_linden oh  he had a heart attack nancy_linden he s dead grissom no  he did nt  and he s not nancy_linden gigi  shush nancy_linden shh  nancy_linden i m sorry nancy_linden i m not supposed to bring her in here,0
