,Unnamed: 0,begin,end,filename,shot_id,transcript,topic,score,score_hf
2183,2183,00:05:18:14,00:05:21:12,5248439298566680341.xml,103,"So, you and Callum  the other night...",events,,0.996322751045227
14231,14231,01:13:15:11,01:13:17:03,5264050645694159353.xml,1382,"First you beat me up  in the house, then you kidnap me.",events,,0.9961951375007629
17644,17644,00:04:54:22,00:04:56:22,5269245838135402929.xml,108,Yesterday we were  rushed off our feet.,events,,0.9955476522445679
13320,13320,00:23:00:19,00:23:04:00,5264050645694159353.xml,471,"These exams, Oxford, everything, ",events,,0.9953795075416565
15721,15721,00:14:36:17,00:14:41:24,5266645664934403562.xml,290,"It's been quite a week for you,  the alleged incident with the gun...",events,,0.995010256767273
13701,13701,00:42:25:16,00:42:31:13,5264050645694159353.xml,852,About last night...  What about it? It was... What?,events,,0.9948410987854004
6074,6074,01:30:08:04,01:30:10:16,5251033029316736209.xml,1758,It was the night from hell.  Me and Max?!,events,,0.9947253465652466
18089,18089,00:29:52:17,00:29:54:10,5269245838135402929.xml,553,"Yeah, and he's just  lost his job, hasn't he?",events,,0.9943931698799133
1596,1596,01:25:28:22,01:25:35:00,5245830105934359183.xml,1597,I saw Phil giving him a gun.  What?! Phil Mitchell giving Max Branning  a gun.  I saw it.,events,,0.9942436814308167
22686,22686,01:27:43:22,01:27:46:07,5274434588125702436.xml,1593,About last night...  Oh!,events,,0.9939514994621277
19323,19323,00:14:48:03,00:14:55:22,5271844722846213628.xml,293,Me and you had had a fight. ,events,,0.9931488037109375
20393,20393,01:11:20:19,01:11:23:10,5271844722846213628.xml,1363,"Let's see what happens when  she comes out of here. ""She""?  It's Amy.",events,,0.9931403994560242
13129,13129,00:13:02:21,00:13:05:13,5264050645694159353.xml,280,Well...  Because I walked out!,events,,0.9923099875450134
860,860,00:47:11:01,00:47:14:20,5245830105934359183.xml,861,It turns out the bloke who used  to live here killed someone.,events,,0.9922361969947815
21386,21386,00:17:14:17,00:17:18:04,5274434588125702436.xml,293,Things got a bit... ,events,,0.992235541343689
17606,17606,00:02:55:15,00:02:56:23,5269245838135402929.xml,70,There's been some trouble. ,events,,0.9921766519546509
15660,15660,00:11:25:23,00:11:29:17,5266645664934403562.xml,229,Where were you when Max Branning  was run over? I was out.  Where?,events,,0.992171049118042
7275,7275,00:38:12:13,00:38:15:23,5253646087419594905.xml,666,There's gonna be a wedding  whether you're in it or not.,events,,0.9918630719184875
12891,12891,00:02:35:07,00:02:38:07,5264050645694159353.xml,42,So you and the van... ,events,,0.9917471408843994
22476,22476,01:16:02:23,01:16:06:06,5274434588125702436.xml,1383,So tomorrow's the big day?  Yep.,events,,0.9916319251060486
20142,20142,00:58:19:09,00:58:22:18,5271844722846213628.xml,1112,Listen.  They're gonna  wake your dad up tonight.,events,,0.9915503263473511
11145,11145,00:24:18:17,00:24:23:05,5258818087037440299.xml,514,Had a few snags at the club...an  industrial dispute with the cleaner.,events,,0.9915478229522705
19306,19306,00:13:45:05,00:13:49:00,5271844722846213628.xml,276,You heard what the midwife said.  These things happen.,events,,0.9914654493331909
5262,5262,00:48:31:23,00:48:34:23,5251033029316736209.xml,946,"and then Masood boy, he calls across  and he offers me some curry...",events,,0.9909947514533997
15795,15795,00:18:54:08,00:18:55:19,5266645664934403562.xml,364,"Abi, Lauren and Oscar  brought it on themselves?!",events,,0.9909440875053406
14848,14848,01:48:23:10,01:48:26:04,5264050645694159353.xml,1999,"that's fine, all right?  Let's just go and see what happens.",events,,0.990641713142395
11143,11143,00:24:14:04,00:24:16:23,5258818087037440299.xml,512,So...?  Just had one of those days.,events,,0.9905510544776917
18604,18604,01:02:12:17,01:02:14:21,5269245838135402929.xml,1068,"No, it's Max's.  He brought this all upon himself.",events,,0.9901977181434631
3802,3802,01:25:30:11,01:25:33:19,5248439298566680341.xml,1722,Callum dumped me. ,events,,0.9901614785194397
15704,15704,00:13:44:19,00:13:48:13,5266645664934403562.xml,273,Quite a night for him. ,events,,0.9897454977035522
4100,4100,01:42:49:04,01:42:52:23,5248439298566680341.xml,2020,It stopped the day I stopped  being a copper.,events,,0.9896412491798401
20169,20169,00:59:35:20,00:59:36:15,5271844722846213628.xml,1139,You've been to see him. ,events,,0.9891934990882874
8242,8242,01:32:07:06,01:32:13:18,5253646087419594905.xml,1633,"Um, Lauren was in with Lucy earlier. ",events,,0.9891564846038818
4073,4073,01:41:23:04,01:41:25:06,5248439298566680341.xml,1993,That's when I got the call. ,events,,0.9890216588973999
22010,22010,00:51:20:09,00:51:25:03,5274434588125702436.xml,917,Yep.  Yeah.  That's what happens. ,events,,0.9889776706695557
18649,18649,01:05:35:03,01:05:43:08,5269245838135402929.xml,1113,"You're the reason this  happened just as much as me. You think she'd have done this if  she hadn't slept with you? I helped Tanya,  I always have and I still am. Yeah, by giving her all the  incentive she needs.  You're the one who pushed her, Jack.",events,,0.9889557957649231
22729,22729,01:29:46:05,01:29:47:10,5274434588125702436.xml,1636,We might be seeing each other again  tonight.,events,,0.9888076186180115
23065,23065,01:49:32:01,01:49:37:22,5274434588125702436.xml,1972,"So go back to your precious Princess  Suzy, if that's what you want. But you know as well as I do  that what happened here...",events,,0.9887943267822266
2356,2356,00:14:42:15,00:14:43:24,5248439298566680341.xml,276,Gonna have to deal with it. ,events,,0.9887657761573792
3816,3816,01:26:21:08,01:26:26:03,5248439298566680341.xml,1736,"We've got that stag do in the VIP,  and Ronnie's decided to do a two-for-one happy hour.",events,,0.988739013671875
1558,1558,01:23:59:09,01:24:01:21,5245830105934359183.xml,1559,Her fella's getting out  of prison today.,events,,0.9886590838432312
15290,15290,02:15:54:15,02:16:02:04,5264050645694159353.xml,2441,"Look, Tan.  What happened between me and Max, ",events,,0.9884917736053467
18254,18254,00:40:21:24,00:40:23:14,5269245838135402929.xml,718,"Let whatever's going to  happen to her, happen.",events,,0.9884445667266846
12776,12776,01:53:41:05,01:53:42:02,5258818087037440299.xml,2145,Judgement Day for Max. ,events,,0.9881910085678101
15703,15703,00:13:37:21,00:13:44:18,5266645664934403562.xml,272,"I told him I loved him.  Right, you told him you loved him  and then he goes off and runs over his brother.",events,,0.9881518483161926
11486,11486,00:42:31:18,00:42:35:08,5258818087037440299.xml,855,"I mean, that's how I ended up in  this situation in the first place. But won't the girls wanna tell him?",events,,0.9879313707351685
14581,14581,01:33:27:17,01:33:30:19,5264050645694159353.xml,1732,"I went to see him, all right. ",events,,0.9878052473068237
10034,10034,01:16:52:17,01:16:54:12,5256228221757951173.xml,1323,"They'd have killed you and all!  Think I care?  You didn't die, did ya? No, because what happened...",events,,0.9876856207847595
22956,22956,01:42:05:01,01:42:06:19,5274434588125702436.xml,1863,She did it. ,events,,0.9875820279121399
10277,10277,01:31:41:02,01:31:43:19,5256228221757951173.xml,1566,"You promised me I could live  with you, but that ain't happened.",events,,0.9873718023300171
3392,3392,01:05:52:20,01:05:56:14,5248439298566680341.xml,1312,"Tiff was screaming her head off,  an' to top it all the wheel on me buggy broke.",events,,0.9873425960540771
14183,14183,01:10:54:08,01:10:57:15,5264050645694159353.xml,1334,KNOCKING CONTINUES  Lauren!,events,,0.9873160123825073
7542,7542,00:52:50:07,00:52:51:21,5253646087419594905.xml,933,She's been invited to one of those  terrible school reunions. And she's going?,events,,0.987116277217865
13152,13152,00:14:14:20,00:14:19:23,5264050645694159353.xml,303,"Jack's leaving.  I know, I saw the van. ",events,,0.9869418144226074
19273,19273,00:11:57:20,00:12:03:02,5271844722846213628.xml,243,I can remember when I went  into labour with Chelsea.,events,,0.9869030714035034
21579,21579,00:27:26:07,00:27:31:06,5274434588125702436.xml,486,"Cos this shouldn't be happening,  should it?  You, Abi and Oscar having to do without her.",events,,0.9868226647377014
18639,18639,01:04:26:04,01:04:32:05,5269245838135402929.xml,1103,"So they lose their old man,  and what they stupidly thought was a good childhood,",events,,0.9867867231369019
22630,22630,01:24:56:10,01:24:57:22,5274434588125702436.xml,1537,It's my fault.  I deserved it. ,events,,0.986766517162323
4102,4102,01:42:58:04,01:43:02:21,5248439298566680341.xml,2022,"Seeing my kid stuck in that chair?  I caused it, Tanya, I caused it. ",events,,0.9867034554481506
8317,8317,01:35:48:09,01:35:50:05,5253646087419594905.xml,1708,Just making sure that you've heard  about our send-off party.,events,,0.9866782426834106
14308,14308,01:18:03:07,01:18:06:00,5264050645694159353.xml,1459,"You should, Max,  cos it's gonna happen. Why?",events,,0.9865719079971313
9245,9245,00:31:42:04,00:31:45:19,5256228221757951173.xml,534,About yesterday... ,events,,0.9864329695701599
19308,19308,00:13:50:24,00:14:05:09,5271844722846213628.xml,278,"Yeah, but why do they happen to me?  Because I'm a bad person,  that's why. Why would you even say something  like that? Cos of your poodle skirt!",events,,0.9863994121551514
21853,21853,00:41:51:22,00:41:54:21,5274434588125702436.xml,760,Cos she did. ,events,,0.9863268136978149
5346,5346,00:53:00:01,00:53:03:14,5251033029316736209.xml,1030,It's out of my hands. ,events,,0.9860891699790955
15577,15577,00:06:19:17,00:06:21:21,5266645664934403562.xml,146,You saw the car that  knocked your Dad down?,events,,0.9860621094703674
22498,22498,01:16:42:03,01:16:56:19,5274434588125702436.xml,1405,"Hi, Lauren, it's Tony.  I was ringing about a couple of  events coming up at the youth club, so if you could call me back,  that would be great. All right, thank you, bye. ",events,,0.98597252368927
4744,4744,00:22:08:17,00:22:17:13,5251033029316736209.xml,428,My dad's uncle died  when I was in prison.,events,,0.9857157468795776
23079,23079,01:51:57:02,01:51:59:09,5274434588125702436.xml,1986,and Uncle Jack's just left us. ,events,,0.9856002330780029
22209,22209,01:02:45:08,01:02:46:21,5274434588125702436.xml,1116,Tony organised it  with the youth centre.,events,,0.9855087995529175
16034,16034,00:30:23:01,00:30:25:06,5266645664934403562.xml,603,"Eh?  Well, Suzy put him on an earlier flight.",events,,0.9854137897491455
15793,15793,00:18:48:14,00:18:51:20,5266645664934403562.xml,362,"You've got to admit it,  Tanya's brought this all on herself.",events,,0.9853426814079285
15651,15651,00:10:54:13,00:10:57:22,5266645664934403562.xml,220,About quarter of an hour  before the accident.,events,,0.9851692914962769
9819,9819,01:04:14:20,01:04:22:20,5256228221757951173.xml,1108,"Right, he's gone. ",events,,0.9850420355796814
4090,4090,01:42:17:10,01:42:20:02,5248439298566680341.xml,2010,"It went on for a while, all right? ",events,,0.9850099086761475
2683,2683,00:31:33:03,00:31:38:00,5248439298566680341.xml,603,"Right, so she's been hitting you,  has she?",events,,0.9849763512611389
8358,8358,01:37:17:08,01:37:21:15,5253646087419594905.xml,1749,"Some boy might be giving her grief,  or some girl gang at school.",events,,0.9848145246505737
14604,14604,01:34:37:20,01:34:39:05,5264050645694159353.xml,1755,It's over. ,events,,0.9846488237380981
7774,7774,01:06:09:07,01:06:12:09,5253646087419594905.xml,1165,"Well, you and Stace.  I mean you went  out together a week or so ago, and she's been really weird ever since.",events,,0.9841455221176147
22688,22688,01:27:49:05,01:27:51:18,5274434588125702436.xml,1595,Everything that  happened was my fault.,events,,0.9839438796043396
16352,16352,00:46:02:10,00:46:07:08,5266645664934403562.xml,921,He destroyed my life. ,events,,0.983695924282074
11190,11190,00:27:13:03,00:27:14:09,5258818087037440299.xml,559,I think the weekend's catching up  with me.,events,,0.9836440682411194
15021,15021,01:58:36:10,01:58:42:01,5264050645694159353.xml,2172,This always happens.  I've a good mind to get it cut off  and dyed an' all.  I'm sick of it!,events,,0.9832930564880371
16578,16578,01:00:22:12,01:00:25:06,5266645664934403562.xml,1147,"""I was sick and you visited me,  ""I was in prison and you came  unto me.""",events,,0.9832167029380798
20300,20300,01:06:56:03,01:06:58:00,5271844722846213628.xml,1270,"They're, um, they're waking him up. ",events,,0.9831150770187378
7232,7232,00:35:24:13,00:35:26:19,5253646087419594905.xml,623,My school's having a reunion. ,events,,0.9829137325286865
22383,22383,01:10:12:21,01:10:15:05,5274434588125702436.xml,1290,They drove off a cliff. ,events,,0.9828789830207825
15964,15964,00:27:05:18,00:27:08:00,5266645664934403562.xml,533,It's hit them hard.  Like when I nearly lost you. ,events,,0.9828734993934631
10151,10151,01:24:51:03,01:24:53:24,5256228221757951173.xml,1440,Hello.  Get the kids back safely to Honey yesterday? Yeah.,events,,0.9828547239303589
3882,3882,01:29:46:20,01:29:47:24,5248439298566680341.xml,1802,"Why, Tanya burn your toast this  morning? No, we had croissants.",events,,0.9828259944915771
1388,1388,01:14:09:18,01:14:10:08,5245830105934359183.xml,1389,"All right, Callum.  Down the wing,  mate.  Down the wing.",events,,0.9827790856361389
18872,18872,01:18:36:01,01:18:47:05,5269245838135402929.xml,1336,"I'm sorry, Ian.  I don't need him.  I've got you,  I've got Ronnie,  I've got Dad.  Yeah, I'm well out of it.  Bit of a result actually.",events,,0.9827433824539185
15788,15788,00:18:40:16,00:18:42:22,5266645664934403562.xml,357,"I mean, all that stuff  at Christmas with her...",events,,0.9826827645301819
10560,10560,01:49:30:12,01:49:32:15,5256228221757951173.xml,1849,Go through with me  exactly what happened that night.,events,,0.982642650604248
15748,15748,00:16:33:12,00:16:41:00,5266645664934403562.xml,317,"Where were you when the car  hit your brother? Tell us where you were, Jack. ",events,,0.9824819564819336
5700,5700,01:11:49:19,01:11:52:08,5251033029316736209.xml,1384,"He gets sent away, the bloke's  walking about free as a bird.",events,,0.9824677109718323
9236,9236,00:31:16:19,00:31:20:11,5256228221757951173.xml,525,"It's Jase's funeral today, innit.  Oh.  I'm sorry, mate. ",events,,0.9824034571647644
554,554,00:31:55:21,00:32:00:10,5245830105934359183.xml,555,You heard. ,events,,0.9823697805404663
12886,12886,00:02:22:24,00:02:25:12,5264050645694159353.xml,37,"Me, the kids and Oscar get a taxi  at 4 o'clock, train leaves St Pancras at 6 o'clock,",events,,0.9823685884475708
13142,13142,00:13:37:01,00:13:39:00,5264050645694159353.xml,293,What?  We've got a sausage roll crisis.,events,,0.9820249676704407
6250,6250,01:38:12:21,01:38:15:08,5251033029316736209.xml,1934,I just want to forget  the whole thing.,events,,0.9820107221603394
19886,19886,00:45:17:13,00:45:19:10,5271844722846213628.xml,856,Quick fumble on the dance floor  to Squeeze and that was it.  End of.,events,,0.9818220734596252
18640,18640,01:04:32:06,01:04:34:22,5269245838135402929.xml,1104,and now they lose their Mum.  Don't put that on me.,events,,0.9817538857460022
14930,14930,01:53:27:16,01:53:30:12,5264050645694159353.xml,2081,Ambulance brought him here. ,events,,0.9817087650299072
4150,4150,01:45:48:09,01:45:51:09,5248439298566680341.xml,2070,"Back home, we heard the East End's  where it's all happening.",events,,0.981705367565155
14704,14704,01:39:28:24,01:39:34:24,5264050645694159353.xml,1855,"He cuffed me, beat me up...  stuck a gun in my face. ",events,,0.9815754294395447
22417,22417,01:12:09:07,01:12:12:20,5274434588125702436.xml,1324,Deal with it. ,events,,0.981427788734436
20679,20679,01:27:56:14,01:27:58:07,5271844722846213628.xml,1649,You were in late last night. ,events,,0.9813610911369324
14675,14675,01:37:50:19,01:37:54:12,5264050645694159353.xml,1826,Yeah.  Tonight. ,events,,0.9813436269760132
21549,21549,00:25:37:12,00:25:38:10,5274434588125702436.xml,456,"The rest of him's already headed  there. Happens to us all, love. Not my Phil, luckily.",events,,0.9813128113746643
14426,14426,01:24:49:22,01:24:54:11,5264050645694159353.xml,1577,Was it cos I took...?  Was it  cos he tried to buy off Callum...?,events,,0.9810847043991089
5624,5624,01:07:47:12,01:07:50:01,5251033029316736209.xml,1308,"Yes, well, the cleaner,  she never turned up again.",events,,0.9809552431106567
18093,18093,00:30:05:08,00:30:08:06,5269245838135402929.xml,557,We got burgled last night.  It seems like somebody's stolen the  keys from Suzy's bag when she was in the Vic.,events,,0.9809459447860718
13131,13131,00:13:07:19,00:13:09:22,5264050645694159353.xml,282,"I walked out of the exam, all right? ",events,,0.9807438850402832
12331,12331,01:26:43:13,01:26:48:12,5258818087037440299.xml,1700,"yes, it happens to us all...  the day that I met Mr Beale. ",events,,0.9805035591125488
2690,2690,00:31:46:10,00:31:48:17,5248439298566680341.xml,610,That he's moved in. ,events,,0.9802940487861633
8413,8413,01:41:13:12,01:41:17:10,5253646087419594905.xml,1804,She turned her back on you?  She turned her back on YOU!,events,,0.9802507162094116
19325,19325,00:14:57:21,00:15:03:10,5271844722846213628.xml,295,And I was in the club and...  Argh!,events,,0.9801989793777466
7809,7809,01:08:01:06,01:08:02:21,5253646087419594905.xml,1200,Happy events. ,events,,0.9801715016365051
9226,9226,00:30:48:21,00:30:50:19,5256228221757951173.xml,515,If Darren hadn't called me I  wouldn't even know it was today.,events,,0.9801483154296875
19053,19053,00:01:45:24,00:01:49:19,5271844722846213628.xml,23,He'll be here. ,events,,0.9798903465270996
6511,6511,01:52:51:22,01:52:56:03,5251033029316736209.xml,2195,but you really shouldn't  have tried it with me. Tony...  You went to his house without telling me. No...,events,,0.979710042476654
3010,3010,00:47:56:01,00:47:59:04,5248439298566680341.xml,930,Bianca tells me you had  a drink with Ricky lunchtime.,events,,0.9796490669250488
5628,5628,01:07:56:14,01:07:59:00,5251033029316736209.xml,1312,"Right, that's it.  She's sacked. ",events,,0.9795008301734924
11150,11150,00:24:50:12,00:24:55:10,5258818087037440299.xml,519,"Then along comes a bad day...  Well, if you wanna talk, I'm not a bad listener.",events,,0.9794571995735168
8426,8426,01:41:38:06,01:41:43:15,5253646087419594905.xml,1817,It's really gonna kick off now.  Oi!  Oi! ,events,,0.9794206023216248
8651,8651,01:53:40:01,01:53:43:07,5253646087419594905.xml,2042,You've done it to me. ,events,,0.9793887138366699
12161,12161,01:16:42:19,01:16:43:00,5258818087037440299.xml,1530,"She had a fall.  It's fine, I just twisted my ankle.",events,,0.9793112874031067
10295,10295,01:32:42:06,01:32:48:19,5256228221757951173.xml,1584,"I go away on honeymoon  and what happens? You hang out with my sister, ",events,,0.9793112277984619
5259,5259,00:48:24:20,00:48:27:01,5251033029316736209.xml,943,Now I come out the launderette to  have a fag...,events,,0.9792691469192505
22628,22628,01:24:51:21,01:24:54:02,5274434588125702436.xml,1535,Things got a bit out of hand. ,events,,0.979234516620636
17706,17706,00:07:28:17,00:07:29:02,5269245838135402929.xml,170,It's just been one of those days. ,events,,0.9792268872261047
19364,19364,00:17:39:24,00:17:41:13,5271844722846213628.xml,334,"One, two... ",events,,0.979194700717926
19367,19367,00:17:43:07,00:17:45:04,5271844722846213628.xml,337,She's here. ,events,,0.9786911606788635
2963,2963,00:45:54:12,00:45:58:13,5248439298566680341.xml,883,"This morning.  What, your dad told you to hit this girl?",events,,0.9786583185195923
15835,15835,00:21:09:08,00:21:11:03,5266645664934403562.xml,404,I went to see Tanya. ,events,,0.9786548614501953
11339,11339,00:34:36:03,00:34:39:06,5258818087037440299.xml,708,"Look, I saw him leaving your flat. ",events,,0.9785902500152588
14806,14806,01:45:39:16,01:45:42:23,5264050645694159353.xml,1957,"Just leave Penny out of this!  No, she was a casualty in all this. Who's next?  Oscar?  The girls? No.",events,,0.9785897731781006
18651,18651,01:05:45:16,01:05:50:00,5269245838135402929.xml,1115,Your brother's dead because of you. ,events,,0.9784002900123596
7978,7978,01:17:54:18,01:18:00:15,5253646087419594905.xml,1369,So it's definitely happening?  It's happening.  You're moving to Birmingham. We're moving. ,events,,0.978352963924408
