,Unnamed: 0,scene_id,scene_text,in_summary,aspects,prediction,aspect?,topic,score,prediction_class
4,4,4,"[' ( GRISSOM walks into the bedroom carrying his kit . )', ' ( BRASS follows behind him . )', ' ( There are other officers already in the room . )', "" ( Though we ca n't see the body , GRISSOM pauses near the bed , his eyes glued to the body . )"", ' [[Brass]] eileen jane snow', "" [[Brass]] lady she carpools with could n't get her to answer the door"", ' [[Brass]] police broke in', ' [[Grissom]] this is exactly the same as the last two', ' [[Brass]] audrey hayes was strangled in her basement and the other one ended up in a park', "" [[Grissom]] different m.o. , but it 's the same signature"", ' [[Brass]] m.o', "" [[Brass]] is how he breaks in signature 's what he does once inside"", ' ( A Camera flashes . )', ' ( Close up of EILEEN SNOW on the bed . )', ' ( Her hands are tied together to the bed metal headboard . )', ' ( Her mouth is bruised . )', ' ( Her eyes are open . )', ' ( Cut back to GRISSOM . )', ' [[Grissom]] three or four overpowering blows to the head from a homemade weapon fashioned at the scene', ' ( A camera flash to : Close up of the iron used to subdue EILEEN SNOW . )', ' ( Cut back to GRISSOM . )', ' [[Grissom]] forces her to drink a mixture of sodium amytal as a chemical restraint', ' ( Flash to white . )', "" ( Close up of the drinking glass discarded on it 's side . )"", ' [[Grissom]] overligature of the victim', ' [[Grissom]] ... and an object rape', ' [[Grissom]] then he strangles her', ' [[Grissom]] ejaculates on the bedsheets', ' ( SARA walks in and sees the body . )', ' [[Grissom]] and as a final act of degradation he poses her like a pinup', ' ( She reacts to the sight of yet another body in a series of serial rapes . )', ' [[Sara]] damn it', ' ( BRASS turns around to look at SARA . )', ' [[Brass]] sara', ' [[Sara]] damn that guy', ' ( SARA starts to walk out of the bedroom . )', ' ( GRISSOM follows her outside to the hallway . )']",1,None,0,0,Murder,0.8934224247932434,1
6,6,6,"[' ( SARA and WARRICK are in the bedroom near the bed . )', ' ( SARA is looking at the tape lift in her hand ; WARRICK is going through the sheets on the bed . )', "" [[Sara]] i have tape-lifted , roll-lifted -- i 'm not finding one hair"", ' ( GRISSOM walks into the room and lingers near the door . )', "" ( He 's carrying a clipboard as he watches them work . )"", ' [[Grissom]] i wonder what that might mean', ' [[Sara]] he vacuumed this place before he left', "" [[Sara]] we 've established that he utilizes materials from the victim 's domicile"", ' ( Thinking about it , SARA walks over to the closet to look for the vacuum cleaner . )', ' ( She pushes the closet door open to reveal the vacuum cleaner just inside . )', ' ( GRISSOM leans over to look at the bedside table . )', ' ( WARRICK continues to check the bed sheets . )', ' ( SARA opens the machine and looks inside . )', ' [[Sara]] hey , guys', ' [[Sara]] he took the bag', ' ( GRISSOM shakes his head . )', ' [[Grissom]] well , look for prints', "" ( Before she can do anything , CATHERINE walks in She 's carrying something that looks for prints and is wearing protective eyewear . )"", "" [[Catherine]] do n't bother"", "" [[Catherine]] there are n't any"", ' [[Catherine]] just like the last time', "" [[Catherine]] the guy 's mr clean"", ' [[Catherine]] here , knock yourself out', ' [[Sara]] thanks', ' ( CATHERINE hands it over to SARA who takes it . )', ' [[Grissom]] he stalked this woman', ' [[Grissom]] he knew how much time he had in this apartment to kill her , and to clean up after himself', "" [[Catherine]] i 'll tell brass to check for s*x offenders in a two-mile radius"", ' [[Grissom]] yeah , have him check peeping toms , too five years back', "" [[Grissom]] that 's how they get started"", ' ( CATHERINE turns to leave the room . )', ' ( WARRICK looks up from his spot near the bed . )', ' [[Warrick]] peeping toms to murderers ?', "" [[Grissom]] it 's about crossing boundaries"", "" [[Grissom]] it 's like , uh , with cake , you know ?"", "" [[Grissom]] you 're just going to have a little bit of the frosting and you end up eating the entire plate"", ' ( WARRICK pulls the bed cover aside . )', ' ( He sees a single hair strand . )', ' [[Warrick]] nobody move', ' ( He picks it up and holds it up . )', ' [[Warrick]] mr clean needs a maid', "" [[Warrick]] i 'm going to take this back to the lab"", ' ( SHERIFF BRIAN MOBLEY walks up to the door and looks around . )', ' ( He sees GRISSOM . )', ' [[Sheriff_Brian_Mobley]] gil', ' [[Sheriff_Brian_Mobley]] i need a word with you outside', ' ( GRISSOM sighs . )', ' ( The SHERIFF leaves . )', ' ( GRISSOM glances over at WARRICK . )']",0,None,1,0,Murder,0.7571768164634705,1
22,22,22,"[' ( GRISSOM and CATHERINE walk into the hotel room . )', "" ( Inside , BRASS and CULPEPPER are interviewing the victim 's husband . )"", ' ( GRISSOM stares at the body on the bed . )', ' [[Catherine]] starting to look like deja vu all over again', ' ( He glances over at the husband . )', ' [[Grissom]] hmm', "" ( CATHERINE turns to look at GRISSOM noting that he does n't particularly sound convinced . )"", ' [[Catherine]] not ?', "" [[Grissom]] occasionally i 'm struck by the absence of evidence"", "" [[Catherine]] it 's there or it is n't"", ' ( CATHERINE turns to look at the scene . )', "" [[Grissom]] the lamp -- cord 's still attached"", ' [[Grissom]] all the others , he yanked the cords off', ' [[Grissom]] look at the table', "" [[Grissom]] books are n't even disturbed"", ' [[Catherine]] staged ?', ' [[Grissom]] first time in a hotel ?', "" [[Grissom]] first time he did n't come in through the window ?"", "" [[Catherine]] i do n't think he made a deposit ... either"", "" ( CULPEPPER heads toward them catching CATHERINE 'S comment . )"", "" [[Agent_Rick_Culpepper]] that just means his signature 's evolving is n't that right , grissom ?"", "" ( GRISSOM does n't answer him . )"", ' ( BRASS joins the group . )', "" [[Grissom]] who 's that guy ?"", "" [[Brass]] he 's the husband"", "" [[Brass]] his name 's brad walden"", "" [[Brass]] they 're locals , come here a couple times a year"", ' [[Brass]] he was downstairs playing poker', ' [[Brass]] she was up here reading a romance novel', ' [[Brass]] he comes back five grand richer', ' [[Brass]] he finds her like this', ' [[Grissom]] husband ?', "" [[Grissom]] let 's bring him in"", "" [[Agent_Rick_Culpepper]] i 'll transport the witness"", ' ( GRISSOM stops him . )', ' [[Grissom]] witness ?', ' ( CULPEPPER looks at GRISSOM . )', ' [[Grissom]] suspect']",1,Perpetrator,0,1,Murder,0.7529482245445251,1
27,27,27,"[' ( Close up of the television monitor during the news report . )', ' ( The heading on the bottom of the screen reads : STRIP STRANGLER CAUGHT . )', ' [[Paula_Francis_(tv_Reporter)]] details of the arrest will be forthcoming in this live report', ' ( SARA walks past the break room and sees the news report through the glass from the hallway . )', ' [[Paula_Francis_(tv_Reporter)]] federal agent culpepper is about to start his news conference', "" [[Paula_Francis_(tv_Reporter)]] as we 've been reporting , a suspect has been arrested in the strip-strangler case"", ' ( In a press conference to the media , CULPEPPER gives his report . )', ' [[Agent_Rick_Culpepper]] we believe that bradley mac walden not only killed his wife but also took the lives of audrey hayes and eileen snow and tracy berg', ' [[Agent_Rick_Culpepper]] our field agents have divulged that mr walden lived within two miles of the other victims worked in the same office building as ms snow and has no believable explanation for his whereabouts on the dates of their murders', ' [[Agent_Rick_Culpepper]] we believe that bradley mac walden found and stalked these victims , and', ' ( CATHERINE walks into the conference room and takes the seat next to GRISSOM . )', ' [[Catherine]] i just talked with brass', ' [[Catherine]] he said that walden was having an affair with a dentist in his office', "" [[Grissom]] i 'm telling you , this guy did not kill those other women"", ' ( Overhearing GRISSOM , the reporter sitting in the seat two rows in front of him turns around to look back at GRISSOM . )', "" ( It 's LYNDA DARBY . )"", ' [[Agent_Rick_Culpepper]] this statement is concluded', ' [[Agent_Rick_Culpepper]] las vegas , its locals and visitors can rest a little easier tonight', ' [[Agent_Rick_Culpepper]] a suspect is in custody', ' [[Agent_Rick_Culpepper]] thank you', "" [[Agent_Rick_Culpepper]] i 'll take some questions"", ' ( While the other media reporters raise their hands to be recognized by the AGENT on stage , LYNDA DARBY turns around and addresses GRISSOM . )', ' [[Lynda_Darby]] mr grissom -- lynda darby , las vegas tribune', ' [[Lynda_Darby]] as the lead csi on this case , do you have anything to add to the fbi statement ?', ' [[Catherine]] politics', ' ( GRISSOM glances at CATHERINE . )', ' [[Grissom]] no', ' ( In the front row , SHERIFF BRIAN MOBLEY turns around to look at GRISSOM . )', ' [[Lynda_Darby]] so , las vegas can breathe easier ?', ' [[Lynda_Darby]] you do have the strip strangler behind bars ?', ' ( Unwilling to lie , GRISSOM answers her . )', "" [[Grissom]] no , we do n't"", ' ( GRISSOM glances at CATHERINE who knows what this means . )', ' ( GRISSOM stands up and leaves . )', "" [[Agent_Rick_Culpepper]] that 's all the information we have"", ' ( SHERIFF BRIAN MOBLEY watches GRISSOM leave . )', ' ( He turns and faces the front of the room as the reporters continue to shout out their questions . )', ' ( CATHERINE sees MOBLEY in the front of the room . )']",0,None,1,0,Murder,0.7401697635650635,1
5,5,5,"[' ( GRISSOM takes SARA out into the hallway . )', ' [[Grissom]] listen , no emotions in here', "" [[Sara]] he 's escalating , grissom"", "" [[Grissom]] that 's the pattern ; it 's a continuum"", ' [[Sara]] guess he wants to get caught', ' [[Grissom]] signature killers never want to get caught', "" [[Grissom]] and they wo n't stop until they do""]",0,None,0,0,Murder,0.718808114528656,1
30,30,30,"[' ( The door opens and GRISSOM walks into his living room . )', ' ( He puts his briefcase down and turns on the stereo . )', ' ( Classical music fills the room . )', ' ( He goes to the kitchen to get his medicine . )', ' ( He opens the fridge to get some water . )', ' ( He opens a prescription medication bottle and tips out a couple of tablets into the palm of his hand . )', ' ( He swallows them and takes a sip of water . )', ' ( He sighs and caps the bottle up tight . )', ' ( He puts his glasses on and opens the file in front of him and goes over the file . )', ' ( Quick flashback to : Just outside the bedroom window , the intruder watches a woman asleep inside . )', ' ( Cut to : The intruder suffocates the woman with a cord wrapped around her neck . )', "" ( Cut to : The intruder wipes the dead woman 's hands with a towel . )"", "" ( Cut to : The intruder wipes the dead woman 's body of any evidence he 's been there . )"", ' ( End of flashback . )', ' ( Resume to GRISSOM . )', ' ( GRISSOM takes off his glasses and closes his eyes . )', ' ( He leans back against the arm of the couch and chucks his shoes off to the floor . )', ' ( He leans back and sighs . )', ' ( Camera moves into the living room from the door . )', "" ( The visitor 's sights are on GRISSOM on the couch . )"", ' ( The visitor slowly crosses the living room toward GRISSOM . )', ' [[Catherine]] hey !', ' ( GRISSOM jumps up and turns around . )', ' ( CATHERINE walks up to him . )', ' [[Catherine]] your door was open', ' [[Catherine]] you okay ?', ' ( CATHERINE picks up the prescription medication bottle and looks at it . )', ' [[Catherine]] migraine', "" [[Catherine]] it 's been a while"", "" [[Grissom]] i 'm not used to having people in my house"", "" [[Catherine]] you just do n't like it when you ca n't solve a case or command your troops"", ' ( CATHERINE turns and walks away toward the shelves . )', ' [[Grissom]] did you come here to tell me about your new job ?', "" ( CATHERINE looks at the books on GRISSOM 'S shelves . )"", "" [[Catherine]] i told the sheriff i 'd pass"", "" [[Grissom]] you do n't want to be a supervisor ?"", "" [[Catherine]] well , if i get a promotion , i want it to be on merit ... not because you 're politically tone-deaf"", ' ( CATHERINE turns around to look at GRISSOM . )', ' [[Catherine]] so , our guys are outside in their tahoes', "" [[Catherine]] if you 're a civilian , we are"", "" ( GRISSOM looks at CATHERINE as he realizes what she 's saying . )"", ' [[Catherine]] except we are putting in for overtime', ' ( CATHERINE heads for the front door . )', ' ( Camera holds on GRISSOM . )']",0,None,1,0,Murder,0.7130942940711975,1
9,9,9,"["" ( CATHERINE is in GREG 'S lab . )"", ' ( GREG reaches over to get the file folder . )', "" [[Greg_Sanders]] the semen taken from this morning 's homicide matches the semen taken from the bedsheets of the last two female victims"", ' ( GREG opens the file folder and takes out a sheet of paper . )', ' ( He hands it to CATHERINE . )', "" [[Catherine]] so , we 're looking at the same guy"", ' [[Greg_Sanders]] yeah , but , check this out', ' [[Greg_Sanders]] the ejaculate sample', ' ( GREG points to the microscope . )', ' ( CATHERINE looks at the sample through the scope . )', "" [[Catherine]] what 's the red stuff ?"", ' [[Greg_Sanders]] mystery substance', ' [[Catherine]] not blood ?', ' [[Greg_Sanders]] no', "" [[Catherine]] so , what , this guy 's got some strange chemical in his mutated dna ?"", ' [[Greg_Sanders]] freaky , huh ?', ' ( CATHERINE sighs and turns to leave the lab . )', ' ( As she leaves , she turns around . )', "" [[Catherine]] freakiest semen i 've seen in a while"", ' [[Catherine]] call me', ' ( CATHERINE steps out of the DNA lab and nearly bumps into the SHERIFF in the hallway . )', ' ( Literally . )', ' [[Catherine]] oh']",0,None,0,0,Murder,0.7036980390548706,1
18,18,18,"[' ( OFFICER cars are gathered under the bridge . )', ' [[Agent_Rick_Culpepper]] okay , listen up', ' [[Agent_Rick_Culpepper]] all personnel will be tethered to our decoy by this radio', ' ( AGENT RICK CULPEPPER stands in the open doorway of the back of the van . )', ' ( Inside the van , the techs help SARA on with the mic . )', ' ( She pulls her shirt down . )', "" ( GRISSOM 'S tahoe pulls up . )"", "" [[Agent_Rick_Culpepper]] according to captain james brass two of our assailant 's victims patronized this specialty grocery store to which we are about to embark forthwith two days before they turned up dead"", ' ( GRISSOM and BRASS get out of the car . )', ' ( GRISSOM walks up to the van . )', "" [[Agent_Rick_Culpepper]] there 's a very good chance our assailant will re-frequent this store , looking for his next victim"", ' ( SARA steps out of the van just as GRISSOM reaches it . )', "" [[Grissom]] this is a pretty flimsy excuse to get your circus up and running , do n't you think ?"", ' [[Agent_Rick_Culpepper]] lives are at stake', "" [[Agent_Rick_Culpepper]] i 'll take flimsy over nothing"", ' ( CULPEPPER steps down from the van . )', "" [[Grissom]] this is action for action 's sake culpepper"", "" [[Grissom]] you 're risking my csi 's life"", "" ( CULPEPPER does n't say anything and walks away . )"", ' ( SARA steps up to GRISSOM . )', ' [[Sara]] look , this is my idea', ' [[Sara]] i want to do something before another girl gets killed and', ' [[Grissom]] listen to me , sara', ' [[Grissom]] if we study his past , we can predict his future', "" [[Sara]] you 've been saying that for weeks"", "" [[Sara]] it 's taking too long"", "" [[Sara]] someone else is going to die and you 're still going to be figuring it out"", ' ( GRISSOM stares at SARA as if seeing her for the first time . )', "" [[Agent_Rick_Culpepper]] okay , sidle we 're good to go"", ' [[Sara]] wish me luck', ' ( SARA turns and leaves . )', ' ( GRISSOM stands there stunned . )', ' ( She steps up into the van past CULPEPPER who simply looks at GRISSOM . )', ' ( Frustrated and helpless , GRISSOM turns around and looks at BRASS . )']",0,None,0,0,Murder,0.7028652429580688,1
33,33,33,"[' ( GRISSOM and CATHERINE walk up to the entrance of the bar . )', ' ( Inside , rock music blares . )', ' [[Catherine]] you think anything illegal goes on in here ?', ' ( GRISSOM pushes the bars open . )', ' ( CATHERINE walks in They both walk up to the bar where the bartender restocks on ice . )', "" ( GRISSOM holds the photo of the man they 're looking for and compares it to the bartender . )"", ' [[Grissom]] excuse me ?', ' [[Grissom]] hunter ?', ' ( The bartender looks up and walks over to them . )', ' [[Hunter_Baumgartner]] yeah', ' [[Hunter_Baumgartner]] you two look like you made a wrong turn somewhere', "" [[Catherine]] we 're with the crime lab"", ' [[Catherine]] heard you just copped a plea for indecent exposure', "" [[Hunter_Baumgartner]] i 'm sorry , i 'm working"", ' ( HUNTER turns to leave , GRISSOM stops him . )', ' [[Grissom]] uh-uh', ' ( GRISSOM starts putting out the photos on the counter . )', ' [[Grissom]] you recognize any of these women ?', ' ( He looks at the photos . )', ' [[Hunter_Baumgartner]] yeah', ' [[Hunter_Baumgartner]] strip strangler girls', ' [[Hunter_Baumgartner]] they are all over tv', ' [[Grissom]] do you know them ?', ' [[Hunter_Baumgartner]] no', ' [[Catherine]] how do you explain your dna on the bedsheets they were murdered in ?', "" [[Hunter_Baumgartner]] i do n't know"", "" [[Grissom]] yeah , 'i do n't know ' does n't get it , pal"", "" [[Grissom]] dna 's like fingerprints"", ' [[Grissom]] no two samples are alike', "" [[Grissom]] you were in these women 's bedrooms"", "" [[Hunter_Baumgartner]] believe me , mister , the last place that you will find me is in a woman 's bedroom"", "" [[Hunter_Baumgartner]] unless we 're discussing window treatments"", ' [[Hunter_Baumgartner]] hey , and my indecent was for tricking too close to the boulevard', "" [[Hunter_Baumgartner]] i do n't know anything about killing women"", "" [[Hunter_Baumgartner]] that 's straight boy stuff"", ' [[Catherine]] any recent trick offer you money for something a little weird ?', ' [[Catherine]] say a portable sample of your dna ?', ' [[Hunter_Baumgartner]] only about ten times this month', ' [[Hunter_Baumgartner]] this is vegas', ' [[Grissom]] would you be able to recognize any of these guys ?', "" [[Hunter_Baumgartner]] well , i 'd have to be looking at them in the face now , would n't i ?"", "" ( HUNTER looks at GRISSOM and playfully 'bites ' him . )"", ' ( He turns and leaves . )', ' ( CATHERINE clears throat . )', ' [[Catherine]] i guess we should have known if our guy was planting hairs he was planting semen', ' [[Grissom]] yeah', ' [[Grissom]] probably in little hollowed-out packets of ketchup']",0,None,0,0,Murder,0.6965246200561523,1
14,14,14,"[' ( An OFFICER stands just outside the front door . )', ' ( Along the sidewalk a small shrine of flowers , candles and pictures is at the corner near the sidewalk . )', "" ( NICK walks to the door of EILEEN SNOW 'S bedroom . )"", ' ( He puts his kit down on the floor near the doorway , then pauses as he takes a deep breath before entering the bedroom . )', ' ( He shines his flashlight into the room and looks around at the bare bed , stripped of its sheets . )', ' ( The window next to it is open . )', ' ( NICK walks into the room . )', ' ( He looks around . )', ' ( The closet light is on . )', "" ( NICK does n't pay too much attention to it . )"", ' ( He continues to circle the room and look around . )', ' ( NICK walks up to the chair in front of the window and kneels down . )', ' ( He sees something on the floor near the chair cover and picks it up . )', ' ( He looks at it . )', ' ( It appears to be a piece of latex . )', ' ( Quick flashback to : The intruder puts on a pair of latex gloves . )', ' ( End of flashback . )', ' ( Resume to present . )', ' ( NICK hears something creak and turns around to look . )', ' ( He looks at the closet . )', ' ( The closet light is off . )', ' ( NICK shines the flashlight into the closet . )', ' ( He stands and slowly approaches the closet door . )', ' ( When he gets close enough , he reaches out a hand to push the door open . )', ' ( At the same time , a woman appears inside the closet , the closet light goes on , and everyone screams in surprise . )', ' ( NICK takes a step back . )', ' [[Nick]] freeze !', ' ( LYNDA DARBY takes a step back into the closet . )', ' ( She bumps her back against the hanging clothes and holds up her hands showing that all she has in her right hand is a digital camera . )', ' [[Nick]] hey', ' ( NICK gets a good look at her and motions for her to get out . )', ' [[Nick]] get out of there', ' [[Nick]] get out of the closet', ' [[Lynda_Darby]] hmm', ' ( LYNDA DARBY steps out of the closet . )', ' [[Nick]] what are you doing ?', ' [[Lynda_Darby]] um , i a reporter', ' [[Lynda_Darby]] what ?', ' [[Lynda_Darby]] we know the police are withholding information from us , so i came down here because', ' [[Nick]] all right', ' [[Nick]] quiet', ' [[Nick]] quiet', ' [[Nick]] are you out of your mind ?', "" [[Nick]] i could 've killed you"", ' [[Nick]] this is a crime scene', "" [[Nick]] you do n't belong here"", "" [[Nick]] unless you want me to get the cop at the front door you 'll get out of here now"", "" [[Nick]] and i 'd better not see any pictures of this apartment in your paper ... or i 'll have the d.a"", ' [[Nick]] on your front door', "" [[Lynda_Darby]] i 'm sorry that i scared you"", "" [[Nick]] you did n't scare me"", ' [[Nick]] mm-mm', ' [[Lynda_Darby]] want to tell me what you found over by the window ?', ' [[Nick]] no', ' [[Lynda_Darby]] okay', ' ( Not daring to push her luck more than she already has , LYNDA DARBY turns and heads out of the room . )', ' ( NICK watches her leave . )']",0,None,0,0,Murder,0.6743536591529846,1
