video_id,caption,label
0-s03e12,"[ ( a dark colored large bird flies across the bottom of the screen . ),  ( the shadow of the large bird travels along the rocks below . ),  ( the bird caws . ),  ( camera travels birds-eye above the mountains . ),  ( a frog sits and croaks under the fallen leaves . ),  ( a man walks across the screen disturbing the leaves and making the frog jump aside . ),  ( cut to : a group of three men walk along the path . ),  ( cut to : the bird flies overhead . ),  ( cut to : the men continue to walk along the path . ),  ( cut to : the bird flies down low along the path and settles on a nest in a tree . ),",0
1-s03e12,"[ ( the men approach the bird and quietly . ),  ( they stop . ),    ( each of the three men pick up their cameras to take pictures . ),                        ( the bird caws . ),  ( the men stop to look through their cameras . ),      ",0
2-s03e12,"[ ( the camera focuses and refocuses on the bird . ),  ( they see that in the bird s mouth , it s carrying an eye . ),  ( the men put their cameras down . ),",0
3-s03e12,"[ ( camera cuts to : a close up of grissom s eye . ),  ( the camera pulls back . ),  ( he stares at the eye in his hand . ),    ( grissom and catherine stand on ladders peering into the bird s nest . ),                  ",0
4-s03e12,"[ ( grissom puts the eye in a dish and takes a couple of photos of it . ),  ( quick flashback to : the raven , caws , picks the eye up off of the ground and flies off . ),  ( end of flashback . ),  ( resume to present . ),  ( grissom picks up the eye and drops liquid on it . ),  ( he removes the contact lens . ),  ( he uncaps a syringe and extracts the liquid from the eye and puts it in a tube . ),",0
5-s03e12,"[ ( catherine examines the contents of the bird s nest . ),  ( she picks up a baby toy from inside . ),  ( she looks at it and smiles . ),  ( she puts it aside . ),  ( grissom walks into the room . ),                ( grissom picks up the feather and looks at it . ),                      ( catherine looks over at the map on the table . ),    ",0
6-s03e12,"[ ( a very pretty kaleidoscope of bird flying in the sky . ),  ( sara , nick and catherine walk toward the cell of garbage that they re going to sift through . ),  ( catherine s holding the file open . ),                        ",0
7-s03e12,"[ ( robbins stands in front of the display of x-rays on the viewer . ),  ( grissom stands nearby with the file folder in his hands . ),          ( they turn around and head back to the table . ),      ( grissom stops and looks at DavidPhillips 
,      ( grissom heads out the front door . ),  ( david pulls back the sheet . ),                                    ( david takes the knife and makes the first cut . ),  ( he sees blood and stops . ),          ( robbins turns around and heads back to the table . ),  ( he grabs a cloth to stop the bleeding . ),  ( david takes the cloth and applies pressure . ),      ( david turns and gets the kit and puts it near the head of the table . ),          ( robbins puts a syringe together and plunges it into fred stearns  chest . ),  ( quick cgi to : the needle of the syringe pierces through the heart . ),  ( the heart starts pumping . ),  ( end of cgi . ),  ( resume to present . ),  ( robbins puts the syringe on the side and checks his vitals . ),      ( he waves him aside . ),    ",1
8-s03e12,"[ ( catherine , nick and sara search the land fill . ),  ( after several dissolves , catherine lifts up a blouse and sees something . ),    ( nick and sara make their way toward her . ),      ( catherine pushes the garbage aside and finds the severed limb . ),        ( catherine picks it up and hands it to nick . ),      ( sara searches the garbage around the limb . ),  ( she finds something . ),        ( quick flashback to : the raven caws , lands and picks at the eye . ),  ( end of flashback . ),  ( resume to present . ),  ( sara starts to cough . ),      ( nick bags the leg . ),              ( sara looks behind her . ),    ( quick flashback to : camera downward view of the body/limb and garbage being dumped on it . ),  ( end of flashback . ),  ( resume to present . ),    ",0
9-s03e12,"[ ( catherine walks into the room . ),                                ( robbins walks over to the view box . ),          ( catherine smiles over her shoulder at robbins , then turns and leaves . ),",0
10-s03e12,"[ ( sara and nick stand over the table full of garbage . ),                                    ( sara opens a pen and turns around to mark the map as nick sorts through the garbage . ),    ( sara marks the wall map . ),",0
11-s03e12,"[ ( robbins goes over the bagged disc with catherine . ),                ( quick cgi to the disc inside the body and moving back and forth . ),    ( end of cgi . ),  ( resume to present . ),                  ( robbins gives catherine the bagged disc . ),    ( robbins chuckles , turns and heads for the door . ),  ",1
12-s03e12,"[ ( officers pull out the trash cans onto the road . ),  ( nick , catherine and sara open them up and check them for blood . ),              ( sara sprays the can and finds blood . ),          ",0
13-s03e12,"[ ( they pull the five trash cans with the blood stains in them to the middle of the street . ),    ( they each swab and test the blood . ),  ( sara s test shows up not human . ),  ( nick s test shows up as human . ),  ",0
14-s03e12,"[ ( they pull the two trash cans with the human blood stains in them further across the road , apart from the other cans . ),  ( sara looks inside the can . ),      ( quick flashback to : the trash collecting truck dumps the trash can contents into the bin the trash falls . ),  ( we see the severed limb inside the bin end of flashback . ),  ( resume to present . ),    ( catherine looks at the can , then points . ),  ",0
15-s03e12,"[ ( catherine interviews danieleaston . ),          ( noraeaston drives up and parks the car . ),  ( she s carrying a bouquet of flowers . ),      ( noraeaston gets out of the car and walks out to the house . ),                            ",0
16-s03e12,"[ ( grissom and warrick walk through the car lot to the building . ),                          ( he hands him a business card . ),      ( martygibson leads the customer past grissom and warrick . ),    ",1
17-s03e12,"[ ( a dog yips in the background . ),  ( warrick and grissom walk up to the receptionist . ),                          ( nanci stares at them speechless . ),  ( the dog barks . ),  ( she turns to quiet her dog in her bag . ),      ( she kicks the bag lightly . ),  ( the dog whimpers . ),    ",0
18-s03e12,"[ ( nancylinden leads grissom and warrick up the stairs to the offices . ),  ( she points the desks out to them . ),              ( nancilinden leaves the room . ),                ( warrick stands in front of the whiteboard that has the commission numbers on it . ),  ( it reads: ),        ( martygibson steps into the office and holds out his business card . ),            ( martygibson leaves the room . ),  ( grissom and warrick start to check the desks . ),  ( grissom finds gum wrappers . ),  ( he checks the tips of the pens on the desk . ),  ( he picks up the phone to find that it s stuck to the base . ),  ( he looks at the phone . ),  ( at the next desk , warrick collects the liquid in the mug . ),  ( grissom scrapes off some of the white stuff on the phone . ),  ( warrick checks the sleeves of the jacket . ),  ( grissom collects the coffee in the mug . ),  ( warrick collects something off of the sleeve . ),  ( camera zooms in for a extreme close up . ),  ( grissom tries the drawers . ),  ( clydehinton leaning over the partition wall throws grissom the keys to the drawer . ),    ( grissom finds the glue bottle in the desk . ),    ( clydehinton snickers . ),    ( clydehinton continues to chuckle . ),  ( grissom holds up the gum . ),    ( clydehinton starts laughing . ),  ( warrick cell phone rings ),                          ( quick flashback to : fred stearns swings around in his chair and talks with clyde and marty . ),      ( fred unwraps a piece of gum and pops it into his mouth . ),  ( he starts chewing . ),    ( marty looks over at fred and nods . ),    ( fred grabs the mirror and checks it . ),  ( sure enough , his lips and teeth are stained black . ),        ( fred starts wiping the stain off of his mouth . ),  ( clyde steps up and everyone laughs . ),  ( end of flashback . ),  ( resume to present . ),      ( warrick steps up to the partition . ),      ( clydehinton appropriately does nt laugh at the news . ),    ",0
19-s03e12,"[ ( DavidPhillips leans over the body and into the camera . ),  ( robbins appears next to him and looks down into the camera also . ),    ( david starts the y-incision . ),",0
20-s03e12,"[ ( brass and catherine walk through the hallway . ),                ",0
21-s03e12,"[ ( david cuts into the stomach . ),  ( he empties out the contents and looks inside . ),  ( robbins watches in the back . ),    ( grissom turns to look at what david s talking about . ),    ( quick cgi to : top view down on a male chest . ),    ( camera drops down and through the chest to show the outer stomach . ),  ( clear liquid coats the outer stomach lining . ),    ( a thick black liquid pours down and coats the stomach lining . ),    ( the black liquid moves aside , the mucosa moves aside to reveal an ulcer underneath . ),  ( end of quick cgi . ),  ( resume to present . ),                ",0
22-s03e12,"[ ( nick and sara go over the car contents . ),  ( sara goes through amyennis  suitcase . ),  ( she holds up a black teddy . ),      ( nick looks up . ),  ( sara turns around and holds the black teddy in front of her . ),  ( she clicks her tongue and shakes the teddy in front of her . ),      ( sara turns around and puts the teddy back into the suitcase . ),  ( she checks its contents . ),        ( sara checks the suitcase pocket . ),  ( nick puts on a mask and holds up the hand-held sized cyanoacrylate fuming wand . ),      ( nick opens the car door , crawls in and looks for prints . ),  ( after a while , he finds a print on the steering wheel . ),  ( camera zooms in for a close up . ),",0
23-s03e12,"[ ( camera overlaps the print on the steering wheel with the extracted print on the computer monitor on the left side while the right side looks for a match . ),  ( the computer beeps . ),  ( there s a match . ),  ( nick continues to work at the computer . ),  ( catherine walks into the lab . ),        ( nick prints out the results . ),  ( he hands it to catherine . ),              ( catherine looks at the print results . ),  ( it reads: ),        ",1
24-s03e12,"[ ( officer cars with their lights flashing are parked outside the easton residence . ),  ( catherine talks with danieleaston . ),                                  ",0
25-s03e12,"[ ( catherine and sara check the bedroom using als . ),  ( catherine checks the bed . ),  ( sara checks the seats . ),  ( she finds something . ),  ( she also finds a pair of lacy panties . ),    ",0
26-s03e12,"[ ( danieleaston explains the lacy panties to sara . ),      ( quick flashback to : danieleaston opens the front door . ),  ( end of flashback . ),  ( resume to present . ),    ( quick flashback to : the door is pushed open and amyennis/kellyeaston walks into the room . ),    ( end of flashback . ),  ( resume to present . ),            ",0
27-s03e12,"[ ( catherine pulls the bed covers back and continues to look for evidence . ),  ( catherine finds a strand of hair . ),  ( she takes a tape and lifts it . ),",0
28-s03e12,"[ ( nick uses the als in charlie s bedroom . ),  ( he looks on the walls , on the bed , and notices charlie s journal on the desk . ),  ( nick opens it and sees pages and pages of violent drawings with notes such as pain  , skool bites  , hate  . ),",0
29-s03e12,"[ ( nick talks with charlie easton . ),                    ( charlie withdraws and puts on his earphone with loud music on . ),",0
30-s03e12,"[ ( catherine interviews noraeaston . ),          ( nora rubs her stomach . ),                ",0
31-s03e12,"[ ( catherine uses the als in nora s bedroom . ),  ( she looks at the framed photos on the desk of nora and her father . ),  ( catherine opens the drawer and finds bottles of high protein  supplements . ),  ( she also finds a jewelry bag with a diamond tennis bracelet inside . ),",0
32-s03e12,"[ ( sara uses the als in the kitchen . ),  ( she finds some blood stains on the floor . ),  ( she looks on the wall where the frying pans are hanging and notices a blank spot on the wall where a frying pan should be . ),",0
33-s03e12,"[ ( nick opens the large freezer in the garage . ),    ( catherine looks at the baggie with the hair samples . ),        ( quick flashback to : the body in the garbage truck bin as the bin closes . ),  ( end of flashback . ),  ( resume to present . ),        ( quick flashback to : a hand holding a frying pan swings and makes contact with amyennis  forehead . ),  ( she goes down . ),  ( flash to white . ),  ( the person empties the large freezer in the garage . ),  ( end of flashback . ),  ( resume to present . ),      ( nick shuts the freezer door closed with a bang . ),",1
34-s03e12,"[ ( grissom walks into the lab . ),        ( grissom holds up a piece of paper . ),      ",1
35-s03e12,"[ ( grissom and warrick re-question martygibson . ),                                                      ",0
36-s03e12,"[ ( martygibson opens the basement doors and leads grissom and warrick downstairs . ),        ( he shows them the snakes in tanks . ),              ",0
37-s03e12,"[ ( brass questions danieleaston with his lawyer next to him . ),                                                                    ",0
38-s03e12,"[ ( grissom talks with jessie menken . ),  ( she looks at the photo of the scales sample ),                    ( she nods . ),                                  ( she nods . ),  ",1
39-s03e12,"[ ( greg goes over the test results with catherine . ),          ( greg shows the results to catherine . ),        ",0
40-s03e12,"[ ( catherine questions noraeaston . ),                    ( noraeaston looks away for a moment . ),      ( noraeaston does nt respond . ),      ( catherine s eyes shift downward and widen . ),  ( nora looks down and notices the wet stain on her blouse . ),      ( nora does nt say anything . ),  ",0
41-s03e12,"[ ( catherine walks rapidly through the hallway and walks into the interview room where danieleaston is . ),                  ( quick flashback to : amyennis/kellyeaston opens the bedroom door and finds danieleaston sitting on the bed with noraeaston . ),    ( end of flashback . ),  ( resume to present . ),              ",0
42-s03e12,"[ ( greg shows warrick and grissom the test results . ),                ",0
43-s03e12,"[ ( camera pans across the counter where nancylinden has porcelain figurines of all kinds of dogs . ),  ( in the middle of the living room , the snake handler handles the large snake . ),                  ( he walks away with the snake . ),  ( grissom heads for nancilinden who sits on the couch in her bathrobe crying . ),                                ( quick flashback to : at the office , fred stears holds up his coffee mug and calls out to martygibson who does nt look all that happy . ),          ( end of flashback . ),  ( resume to present . ),    ( quick flashback to : martygibson pours the cup of coffee . ),  ( he reaches into his pocket and retrieves a small vial of venom which he pours into the mug . ),  ( end of flashback . ),  ( resume to present . ),",1
44-s03e12,"[ ( martygibson is in handcuffs leading gibson and the officer out of the second floor offices and down the stairs . ),                                        ( marty shakes his head and starts rambling as he walks to the car . ),              ( marty is helped into the car . ),    ( the car door closes . ),",1
45-s03e12,"[ ( noraeaston is having a pelvic examination . ),  ( catherine stands on the side and watches . ),            ( the examination is completed . ),  ( the nurse pushes the curtain aside and whispers to catherine . ),  ( she walks away . ),  ( catherine turns and looks at nora . ),",0
