,Unnamed: 0,scene_id,scene_text,in_summary,aspects,prediction,aspect?,topic,score,prediction_class
6,6,6,"[' ( Officers put up crime scene tape around the front of the house . )', ' ( Catherine and Nick exit their vehicle and head for the house carrying their kits . )', ' ( They pass an officer escorting Martin Hawkins out the front walk , another officer escorting Yvonne Hawkins and a third officer escorting their son , Matthew Hawkins . )', ' ( The officer opens the back seat car door for Martin Hawkins . )', ' ( Catherine passes Matthew Hawkins on her way to the house . )', ' ( Detective Chris Cavaliere meets up with Catherine and Nick . )', ' [[Det._Chris_Cavaliere]] hey', "" [[Det._Chris_Cavaliere]] victim 's in the bedroom"", ' [[Det._Chris_Cavaliere]] ty hawkins , 12', ' ( He leads them into the house . )']",1,Crime scene,0,1,Crime,0.9187743067741394,1
8,8,8,"["" ( Catherine takes a swab of Ty Hawkins ' bed . )"", ' ( She picks up the bat and looks at the knob at the base of the bat handle . )', ' ( She swabs the head of the bat . )', ' ( She puts the bat down and tests it . )', ' ( Negative . )', ' ( She looks at the swab . )', ' ( Catherine removes the sheets off the bed . )', ' ( Camera pulls back out of the bedroom through the bedroom window and out of the house ... )', "" ( ... where Nick is standing with his camera to take a photo of the shoe print in the dirt just outside Ty Hawkins ' bedroom window . )"", ' ( He puts the ruler aside and puts a metal ring around the shoe print . )', ' ( He smashes the bag of plaster and pours it over the shoe print . )', ' ( Nick stands up . )', ' ( Camera zooms back into the house through the bedroom window ... )', ' ( ... where Catherine is standing near the shelves dusting them for prints . )', "" ( Nick has found the word 'BRAT ' written on the bedroom window . )"", ' ( He dusts it . )', ' ( Inside , Catherine dusts the window jalousies . )', ' ( Outside , Nick dusts the word on the window glass . )', ' ( He leans in close and snaps a photo of it . )', ' ( Catherine walks into the utility room and opens the washer . )', ' ( She takes out some bed sheets and other clothing . )', ' ( She uses an ALS on the clothes and finds some urine stains on the clothing and the bed sheets . )', ' ( Nick walks over to the trash bins . )', ' ( On the ground are some heavy lead pipes . )', ' ( He snaps photos of it . )', ' ( He picks one up and looks at the treading at the bottom . )', ' ( He puts the pipe down and snaps a photo of it . )', ' ( Catherine opens the back of their SUV . )', ' ( She takes her sunglasses off . )', ' ( Nick walks up to her carrying a lead pipe . )', ' [[Nick]] found a pile of pipes by the side of the house ; one seems to be missing', ' [[Nick]] this is an exemplar of a possible murder weapon', "" [[Nick]] and i cast a shoe impression just outside the kid 's bedroom window"", ' [[Nick]] also some graffiti on the window -- b-r-a-t. maybe somebody had it in for the kid', ' ( Catherine slips her jacket on . )', ' [[Catherine]] well , i bagged the bloody sheets from the bed', ' [[Catherine]] found boxers , a t-shirt and a fitted sheet in the washer', "" [[Catherine]] als 'd for blood , found urine"", ' [[Nick]] mm', ' [[Nick]] well , whoever killed the boy knew how to get in and out of this house without waking the family', ' ( Catherine closes the back door . )']",0,None,0,0,Crime,0.9179185628890991,1
29,29,29,"["" ( Lights flash from the officers ' parked cars . )"", ' ( An officer gets out of his car and hurries across the grass . )', "" ( Nick and Warrick rush across the grass over to the homeless man 's tent hidden in the brush . )"", ' ( Officers reach in and pull the homeless man out . )', ' [[Walter_(homeless_man)]] what ?', ' [[Walter_(homeless_man)]] hey !', ' [[Walter_(homeless_man)]] stop it !', ' [[Officer]] come on !', ' [[Officer]] get up !', ' [[Walter_(homeless_man)]] let me ... let me go !', ' ( They pull Walter to his feet . )', ' ( He struggles against the three officers . )', ' [[Walter_(homeless_man)]] let go of me !', ' [[Walter_(homeless_man)]] stop it !', "" [[Officer_Metcalf]] hey , what 's your name ?"", ' [[Walter_(homeless_man)]] what ?', ' [[Officer_Metcalf]] tell the gentlemen your name', ' [[Walter_(homeless_man)]] walter !', ' [[Walter_(homeless_man)]] my name is walter !', "" [[Nick]] walter , that 's a nice blue sweater"", "" [[Nick]] where 'd you get it ?"", "" [[Nick]] i said i like your sweater -- where 'd you get it ?"", "" [[Walter_(homeless_man)]] it 's mine !"", "" [[Nick]] oh , it 's yours ?"", ' ( We see the bloodstains on the sweater . )', ' [[Walter_(homeless_man)]] yes , this is my sweater !', ' [[Warrick]] whose blood is it on your sweater , walter ?', ' [[Walter_(homeless_man)]] huh ?', "" [[Warrick]] we 're gon na give you a nice warm place to sleep tonight , partner"", ' [[Walter_(homeless_man)]] wha -- ?', ' ( He looks around , surprised and not happy . )', ' [[Nick]] suspicion of murder', ' ( The officers lead Walter toward their cars . )', ' ( He trips and falls to the ground , screaming . )', ' [[Walter_(homeless_man)]] no !', ' [[Walter_(homeless_man)]] no !', ' [[Nick]] easy with the sweater', "" [[Nick]] it 's evidence""]",0,None,0,0,Crime,0.9021750092506409,1
21,21,21,"[' ( Nick reports to Catherine . )', "" [[Nick]] the shoe impression outside ty 's window matches the brother 's"", "" [[Catherine]] yeah , i got a hair off of ty 's t-shirt"", ' [[Catherine]] also consistent with matt', ' [[Nick]] either of which could be related to the murder or just a result of two brothers living together', ' [[Catherine]] yeah', "" [[Nick]] what 's in the bindle ?"", ' [[Catherine]] uh , blue fibers', "" [[Catherine]] got them off the vic 's t-shirt"", ' [[Nick]] nobody in the family was wearing anything blue', ' [[Catherine]] no , but you know , could be from a blanket , a carpet , towel', "" [[Catherine]] i 'll take them to trace"", "" [[Nick]] hey , i am concerned that detective cavaliere 's moving ahead of forensics on this one"", ' [[Catherine]] he can move as fast as wants', ' [[Catherine]] the d.a', "" [[Catherine]] wo n't file without the physical evidence"", ' [[Catherine]] and right now , we got nothing']",1,Evidence,1,1,Crime,0.8859826922416687,1
15,15,15,"[' ( Nick sits across the table from Matthew Hawkins . )', ' ( Matthew puts his shoe on the table for Nick . )', ' ( Det Cavaliere starts in on Matthew . )', "" [[Det._Chris_Cavaliere]] you 're not fooling me , kid"", ' [[Det._Chris_Cavaliere]] the second i laid eyes on you , i knew how it went down', "" [[Det._Chris_Cavaliere]] you took a pipe from the backyard , you went into ty 's bedroom , and while he was sleeping , you beat his brains to a pulp"", ' ( Nick glances at Det Cavaliere . )', "" [[Det._Chris_Cavaliere]] now , what the hell 's wrong with you , kid ?"", ' [[Det._Chris_Cavaliere]] your little brother is dead', ' [[Det._Chris_Cavaliere]] what did he ever do to you ?', ' ( Matthew looks at Nick . )', "" ( Det Cavaliere gets in Matthew 's face . )"", "" [[Det._Chris_Cavaliere]] now , do n't look at him"", "" [[Det._Chris_Cavaliere]] he ca n't help you"", ' [[Det._Chris_Cavaliere]] nobody can help you', "" [[Det._Chris_Cavaliere]] you 're going to prison"", ' [[Det._Chris_Cavaliere]] and at fourteen , that means life', "" [[Det._Chris_Cavaliere]] i 'm talking to you , you little ... !"", ' ( Matthew jumps . )', ' ( Nick interrupts him . )', ' [[Nick]] detective ... can i have a word with you outside , please ?', ' ( Nick and Det Cavaliere leave the room . )']",0,None,0,0,Crime,0.8811968564987183,1
39,39,39,"[' ( Catherine goes over the case and evidence with Nick and Warrick . )', "" [[Catherine]] so we 've got three suspects , three scenarios"", "" [[Nick]] yeah , matt could have worn his dad 's sweater when he killed ty"", ' [[Nick]] dumped it in the park during the night , where walter found it', ' [[Catherine]] or dad could have worn it and dumped it in the park', ' [[Warrick]] or this sweater could have accidentally been left in the park , and walter , the homeless guy , could have picked it up and worn it when he entered the house through the screen door and killed ty', ' [[Warrick]] but none of the evidence goes to motive', ' [[Catherine]] not our problem at the moment', "" [[Catherine]] let 's just stay focused on the sweater"", "" [[Catherine]] it 's tied to the victim and this scene"", ' [[Catherine]] we need to tie it to the killer', ' [[Catherine]] hey , how tall would you say matt hawkins ?', ' [[Nick]] about five feet , why ?', "" [[Nick]] dad is ... 6'2 '"", ' [[Nick]] what about walter ?', "" [[Warrick]] mmm ... 5'10 '"", "" [[Warrick]] about nick 's height"", ' ( Warrick and Nick nod . )', ' [[Nick]] yeah', ' [[Warrick]] what you getting at ?', ' [[Catherine]] meet me in the garage in half an hour', ' ( Catherine turns and leaves . )']",0,None,1,0,Crime,0.8482698202133179,1
31,31,31,"[' ( Brass and Sara interview Jesse Acheson . )', ' ( Sara sits across him at the table while Brass looks out the room window . )', "" [[Jesse_Acheson]] well , i certainly did n't kill anyone , and"", ' [[Jesse_Acheson]] i do not know how my fingerprint got there', "" [[Sara]] we do n't think that you did rape or kill anyone"", ' [[Sara]] we simply want to know how your fingerprint ended up at a murder scene five years ago', "" [[Brass]] look , jesse , we appreciate you coming down here voluntarily , but if you clam up , we 're gon na have to file an obstruction of justice charge , and that 's not good ... for you"", "" [[Brass]] let 's make it easy on yourself"", ' ( Brass turns around . )', "" [[Brass]] what were you doing in sue stein 's hotel room ?"", "" [[Jesse_Acheson]] you wo n't believe me"", ' [[Brass]] try us', ' [[Jesse_Acheson]] i did go to see sue that night', ' ( Quick flashback to : [_MOTEL_ROOM_-_NIGHT_-_FIVE_YEARS_AGO_] Jesse Acheson slips into the motel room through the open sliding door . )', ' [[Jesse_Acheson]] sue', ' ( In the dark , he walks over to the bed and sees Sue on it . )', ' ( He shakes her trying to wake her up . )', ' [[Jesse_Acheson]] come on , girl , wake up', "" ( He rolls her over and sees that she 's bloodied and dead . )"", ' ( He sees the blood on his hands and wipes his hands on the bedcover . )', ' ( He leaves through the sliding glass doors . )', ' ( End of flashback . )', ' ( Resume to present . )', ' [[Sara]] you just took off ?', "" [[Sara]] you did n't bother to report a murder"", "" [[Jesse_Acheson]] ma'am , i"", ' [[Jesse_Acheson]] i got a record , and i was on probation', "" [[Jesse_Acheson]] if i 'd done all of that , i 'd have been ... suspect numero uno"", "" [[Brass]] all right , let 's cut to the chase"", ' [[Brass]] you were there to sell her blow , right ?', ' ( Jesse turns to look at Brass . )', "" [[Jesse_Acheson]] i do n't need a lawyer , right ?"", "" [[Jesse_Acheson]] i mean , it 's off the record ?"", "" [[Brass]] we 're just having a little chat here"", ' ( He turns to look at Sara . )', "" [[Jesse_Acheson]] well , that 's why she left the door unlocked"", "" [[Jesse_Acheson]] we 'd been doing it that way for years"", ' [[Jesse_Acheson]] whenever sue came to town , i always took care of her', "" ( There 's a long pause . )"", "" [[Jesse_Acheson]] i 'm really sorry"", ' [[Jesse_Acheson]] she was my friend', ' [[Jesse_Acheson]] i wish i could be more help']",0,None,1,0,Crime,0.8337817788124084,1
11,11,11,"[' ( Nick fingerprints Martin Hawkins . )', "" [[Martin_Hawkins]] my son 's dead"", ' [[Martin_Hawkins]] why are you fingerprinting me ?', ' [[Nick]] the crime lab is going to dust your house for prints , so i need to know which ones are yours', ' ( Nick rips open a towel wipe and hands it to Martin Hawkins . )', ' ( Det Chris Cavaliere questions Martin Hawkins . )', ' [[Det._Chris_Cavaliere]] now , your wife said that you both went to bed after the news', ' [[Martin_Hawkins]] i already told you that', ' [[Martin_Hawkins]] twice', ' ( Martin Hawkins nervously wipes his ink-stained fingertips on the towelette . )', ' [[Martin_Hawkins]] you know , i', ' [[Martin_Hawkins]] i got questions , too , you know', ' [[Martin_Hawkins]] why ty ?', ' [[Martin_Hawkins]] why not me ?', ' ( Nick looks at Det Cavaliere . )', ' [[Martin_Hawkins]] how could my wife and i sleep', ' [[Martin_Hawkins]] ... through it all ?', ' [[Nick]] mr hawkins , would you stand up , facing me , so i can take some photos ?', ' [[Martin_Hawkins]] is this really necessary ?', ' [[Det._Chris_Cavaliere]] please , just let him do his job', ' [[Det._Chris_Cavaliere]] sir', ' ( Martin Hawkins stands up . )', ' ( Nick raises his camera and snaps several photos - from his face down to his shoes . )', ' ( Martin Hawkins glances over at Det Cavaliere . )', ' ( Det Cavaliere looks away . )', ' ( Nick takes out a swab . )', ' [[Nick]] open up', ' ( Nick holds out a swab . )', ' ( Martin Hawkins opens his mouth . )', ' ( Nick swabs the inside of his mouth . )', "" [[Nick]] i 'll be needing to take your shoes as well"", ' [[Nick]] you can wear some booties home', ' [[Martin_Hawkins]] what now ?', ' [[Det._Chris_Cavaliere]] you and your wife are free to go', ' [[Martin_Hawkins]] what about matt ?', ' [[Det._Chris_Cavaliere]] he has to stay here in protective custody until this is resolved', ' ( Det Cavaliere glances at Nick . )', ' ( Martin Hawkins glances at Nick . )', ' ( Nick nods . )']",0,None,0,0,Crime,0.8031138777732849,1
25,25,25,"[' ( Warrick and Nick are in the locker room . )', ' [[Warrick]] i was testifying today', ' [[Warrick]] i ran into the d.a', ' [[Warrick]] he filled me in on your case', "" [[Warrick]] looks like matt hawkins ' confession is gon na stand up in court"", "" [[Nick]] suspects are tricked into confessing all the time , but i 'm telling you , cavaliere intimidated that boy"", "" [[Nick]] man , he would 've signed anything"", "" [[Warrick]] so you think he 's innocent ?"", ' [[Nick]] could be', ' [[Nick]] i checked the crime stats for the hawkins neighborhood', "" [[Nick]] there 's been a rash of nuisance calls"", "" [[Nick]] there 's some homeless guy running around out there peeping in windows , urinating in public , attempted b and e"", ' [[Warrick]] sounds like a suspect', "" [[Nick]] i 'm gon na go back out there , see if the hawkins know anything about it"", ' ( Nick closes his locker . )', ' [[Warrick]] need some help ?', ' [[Nick]] you got that kind of time ?', ' ( Nick puts his jacket on . )', "" [[Warrick]] i 'll meet you in the car"", ' [[Nick]] thanks , rick']",0,None,1,0,Crime,0.7702637910842896,1
4,4,4,"[' ( Close-up of : Martha Krell is on the gurney . )', ' ( The coroner covers her with a sheet . )', ' ( Grissom steps out of the bathroom . )', "" ( He removes his latex gloves and watches as the coroner wheels out the victim 's body . )"", ' ( He heads over to Sara . )', ' ( Sara is dusting the hotel table . )', ' ( Grissom stops and stands next to her . )', ' [[Sara]] usually in hotel rooms , we find too many prints', ' [[Sara]] not a single one', ' [[Sara]] just wipes and swipes']",0,None,0,0,Crime,0.7672172784805298,1
