,begin,end,filename,shot_id,transcript
0,00:00:00:00,00:00:20:21,5245830105934359183.xml,1,
1,00:00:20:22,00:00:23:20,5245830105934359183.xml,2,
2,00:00:23:21,00:00:25:14,5245830105934359183.xml,3,
3,00:00:25:15,00:00:26:20,5245830105934359183.xml,4,You took your time.
4,00:00:26:21,00:00:30:03,5245830105934359183.xml,5,"Nothing like being close to the  family...  Watch that, it's glass."
5,00:00:30:04,00:00:32:10,5245830105934359183.xml,6,"Moving right in the middle,  got them on all sides."
6,00:00:32:11,00:00:35:13,5245830105934359183.xml,7,"Yeah, ain't we just? "
7,00:00:35:14,00:00:38:22,5245830105934359183.xml,8,MUSIC PLAYS  Push and clench.  Push and clench.
8,00:00:38:23,00:00:51:01,5245830105934359183.xml,9,"I can't!  Come on, clench those muscles. It really hurts.  Come on, you gotta work harder. Push.  By the time Tony gets out  in a month, I'll be able to crack walnuts on this bum...  Push..."
9,00:00:51:02,00:00:54:15,5245830105934359183.xml,10,
10,00:00:54:16,00:00:57:17,5245830105934359183.xml,11,
11,00:00:57:18,00:01:01:14,5245830105934359183.xml,12,Here we go. 
12,00:01:01:15,00:01:03:05,5245830105934359183.xml,13,You trying to get a tip out of me? 
13,00:01:03:06,00:01:04:23,5245830105934359183.xml,14,"No, I'm just being polite. "
14,00:01:04:24,00:01:07:05,5245830105934359183.xml,15,"Open the door for customers,  do you? No, only the special ones.  Special?"
15,00:01:07:06,00:01:08:07,5245830105934359183.xml,16,
16,00:01:08:08,00:01:11:06,5245830105934359183.xml,17,
17,00:01:11:07,00:01:12:17,5245830105934359183.xml,18,"That's £11.20, please.  I'm special, am I?"
18,00:01:12:18,00:01:14:09,5245830105934359183.xml,19,
19,00:01:14:10,00:01:19:14,5245830105934359183.xml,20,"Would you like a tip?  Opening doors, that smile... "
20,00:01:19:15,00:01:21:16,5245830105934359183.xml,21,That's gotta be worth a bit extra. 
21,00:01:21:17,00:01:24:10,5245830105934359183.xml,22,"Just call it a tenner for cash.  Well, I can't pay a bloke if  I don't know his name. Ricky."
22,00:01:24:11,00:01:26:13,5245830105934359183.xml,23,
23,00:01:26:14,00:01:33:04,5245830105934359183.xml,24,"Fiona.  Hi. So, Ricky, where are you taking me tonight?"
24,00:01:33:05,00:01:35:12,5245830105934359183.xml,25,
25,00:01:35:13,00:01:36:21,5245830105934359183.xml,26,
26,00:01:36:22,00:01:37:21,5245830105934359183.xml,27,
27,00:01:37:22,00:01:39:12,5245830105934359183.xml,28,
28,00:01:39:13,00:01:41:24,5245830105934359183.xml,29,"Fancy a coffee?  While I'm gone,"
29,00:01:42:00,00:01:44:06,5245830105934359183.xml,30,are you gonna keep an eye on  my apples and pears? No. Dani?
30,00:01:44:07,00:01:45:24,5245830105934359183.xml,31,
31,00:01:46:00,00:02:00:08,5245830105934359183.xml,32,"Sure, no worries.  I thought you was gonna keep away from Stacey? I am. Yeah, I saw you copping an eyeful.  What?  All I asked was,  she kept an eye on my soft fruits. Listen, you keep sniffing round her,  everything's gonna end up in the blender."
32,00:02:00:09,00:02:02:09,5245830105934359183.xml,33,
33,00:02:02:10,00:02:02:22,5245830105934359183.xml,34,
34,00:02:02:23,00:02:05:02,5245830105934359183.xml,35,
35,00:02:05:03,00:02:07:03,5245830105934359183.xml,36,
36,00:02:07:04,00:02:13:10,5245830105934359183.xml,37,"MUSIC GOES OFF  Oi! You can hear that from across the  Square. Come on, Ricky, you need a workout."
37,00:02:13:11,00:02:15:05,5245830105934359183.xml,38,
38,00:02:15:06,00:02:17:20,5245830105934359183.xml,39,Oi!  This is toned to perfection. 
39,00:02:17:21,00:02:19:04,5245830105934359183.xml,40,
40,00:02:19:05,00:02:20:24,5245830105934359183.xml,41,For a Teletubby.  That's not what my last fare thought.
41,00:02:21:00,00:02:22:24,5245830105934359183.xml,42,
