,begin,end,filename,shot_id,transcript
0,00:00:00:00,00:00:20:22,5300410550331962313.xml,1,
1,00:00:20:23,00:00:23:03,5300410550331962313.xml,2,
2,00:00:23:04,00:00:23:07,5300410550331962313.xml,3,
3,00:00:23:08,00:00:24:20,5300410550331962313.xml,4,
4,00:00:24:21,00:00:26:13,5300410550331962313.xml,5,
5,00:00:26:14,00:00:27:16,5300410550331962313.xml,6,I think you'll find that's for me!
6,00:00:27:17,00:00:29:09,5300410550331962313.xml,7,
7,00:00:29:10,00:00:31:14,5300410550331962313.xml,8,
8,00:00:31:15,00:00:35:05,5300410550331962313.xml,9,"You're not gonna get a tip,  if that's what you're waiting for."
9,00:00:35:06,00:00:36:12,5300410550331962313.xml,10,"Just sign here, love, please. "
10,00:00:36:13,00:00:37:11,5300410550331962313.xml,11,
11,00:00:37:12,00:00:38:15,5300410550331962313.xml,12,
12,00:00:38:16,00:00:42:24,5300410550331962313.xml,13,"Well, I know that outfit  ain't for my benefit.  What you got, a new man on the scene?"
13,00:00:43:00,00:00:45:14,5300410550331962313.xml,14,Why do men think everything  revolves around them? So what's the special occasion?
14,00:00:45:15,00:00:47:11,5300410550331962313.xml,15,
15,00:00:47:12,00:00:49:17,5300410550331962313.xml,16,
16,00:00:49:18,00:00:50:23,5300410550331962313.xml,17,First day of the rest of my life. 
17,00:00:50:24,00:00:52:01,5300410550331962313.xml,18,Eh? 
18,00:00:52:02,00:00:53:20,5300410550331962313.xml,19,
19,00:00:53:21,00:00:56:10,5300410550331962313.xml,20,"Janine, you can't do that! "
20,00:00:56:11,00:00:58:21,5300410550331962313.xml,21,
21,00:00:58:22,00:01:01:07,5300410550331962313.xml,22,Watch me. 
22,00:01:01:08,00:01:01:20,5300410550331962313.xml,23,
23,00:01:01:21,00:01:03:14,5300410550331962313.xml,24,
24,00:01:03:15,00:01:09:00,5300410550331962313.xml,25,Shopping list.  You do the cash and  carry. And I'll see you at the unit. What if they get in there while  you're gone? I got a plan for that.
25,00:01:09:01,00:01:11:05,5300410550331962313.xml,26,Masala Masood won't know  what's hit 'em.
26,00:01:11:06,00:01:13:01,5300410550331962313.xml,27,
27,00:01:13:02,00:01:18:05,5300410550331962313.xml,28,"Hey, hey, hey!  I'm using that!  I'm recycling."
28,00:01:18:06,00:01:19:20,5300410550331962313.xml,29,
29,00:01:19:21,00:01:21:17,5300410550331962313.xml,30,I'm already recycling. 
30,00:01:21:18,00:01:27:01,5300410550331962313.xml,31,That doesn't count.  What do they teach you at that school of yours? Re-use is better.  Think about the  amount of energy recycling takes.
31,00:01:27:02,00:01:29:11,5300410550331962313.xml,32,"No.  I mean, it doesn't count for  Lucy's scheme. She has a scheme?"
32,00:01:29:12,00:01:31:10,5300410550331962313.xml,33,
33,00:01:31:11,00:01:37:15,5300410550331962313.xml,34,"She always has a scheme  of some sort. This one's to show her  ""green credentials."" ""The class president who saved the world""."
34,00:01:37:16,00:01:42:03,5300410550331962313.xml,35,"Well, it's really  good of you to help her out. I'm not collecting for her."
35,00:01:42:04,00:01:47:18,5300410550331962313.xml,36,"It'd be a shame if the class  president came bottom of her own recycling class, wouldn't it?"
36,00:01:47:19,00:01:51:04,5300410550331962313.xml,37,
37,00:01:51:05,00:01:52:19,5300410550331962313.xml,38,
38,00:01:52:20,00:01:56:09,5300410550331962313.xml,39,Mum will have finished the sudoku  by now...you can take her paper. Nah.  I already checked. 
39,00:01:56:10,00:02:01:24,5300410550331962313.xml,40,She went straight out  to the caff this morning. She never started her puzzle page.
40,00:02:02:00,00:02:09:12,5300410550331962313.xml,41,"No, they're Dad's breakfast things.  Linda's lunch is in the fridge. Like I said, Linda went  straight out this morning."
41,00:02:09:13,00:02:12:00,5300410550331962313.xml,42,
42,00:02:12:01,00:02:19:01,5300410550331962313.xml,43,"Coffee please, take away.  Black.  Hey!  I was here. No sugar.  Sweet enough already, are you, Janine?"
43,00:02:19:02,00:02:22:08,5300410550331962313.xml,44,"There you go, Libby.  Anything else? "
44,00:02:22:09,00:02:23:12,5300410550331962313.xml,45,
45,00:02:23:13,00:02:25:01,5300410550331962313.xml,46,"Yes, please, two lasagnes.  One for you, one for your imaginary friend!"
46,00:02:25:02,00:02:26:24,5300410550331962313.xml,47,
47,00:02:27:00,00:02:28:17,5300410550331962313.xml,48,I'll bring them over  with your change.
48,00:02:28:18,00:02:31:13,5300410550331962313.xml,49,You're back!  Ooh... Watch it!  This is new! 
49,00:02:31:14,00:02:45:14,5300410550331962313.xml,50,"Happy 18th birthday.  So, how was Demi?  How was the day?  It's just another year, ain't it? Come on, sit down. But I wanna take you somewhere.  But I just got us lunch.  And...I've  still got your present to give you. Oh.  I've got YOU a present.  Not a present, more of a surprise. But it's worth missing lunch."
50,00:02:45:15,00:02:47:17,5300410550331962313.xml,51,
51,00:02:47:18,00:02:48:23,5300410550331962313.xml,52,
52,00:02:48:24,00:02:49:21,5300410550331962313.xml,53,
53,00:02:49:22,00:02:54:06,5300410550331962313.xml,54,"So come on, we need to go  and talk to Jack. Jack?  Yeah.  We need to go and pick something up from him."
54,00:02:54:07,00:02:56:00,5300410550331962313.xml,55,"I don't understand.  Now I've turned 18, he's giving me the car lot!"
55,00:02:56:01,00:02:58:15,5300410550331962313.xml,56,"What?  He's...I don't get it!  Well, he's not giving me it, it's more..."
56,00:02:58:16,00:03:00:14,5300410550331962313.xml,57,
57,00:03:00:15,00:03:02:08,5300410550331962313.xml,58,
58,00:03:02:09,00:03:03:13,5300410550331962313.xml,59,"It's valuable, I mean,  any real estate in London. Trust me, I've earned it. How?"
59,00:03:03:14,00:03:04:14,5300410550331962313.xml,60,
60,00:03:04:15,00:03:06:05,5300410550331962313.xml,61,
61,00:03:06:06,00:03:08:16,5300410550331962313.xml,62,
62,00:03:08:17,00:03:11:07,5300410550331962313.xml,63,
63,00:03:11:08,00:03:16:03,5300410550331962313.xml,64,"Right, take this through  to your Auntie Peg..."
64,00:03:16:04,00:03:23:20,5300410550331962313.xml,65,"and I've got a bottle  warming for the baby. You're a god.  Hey, hey, hey... I said that was for Auntie Peggy.  Well, she ain't here, is she? Where is she?"
65,00:03:23:21,00:03:25:18,5300410550331962313.xml,66,
66,00:03:25:19,00:03:29:17,5300410550331962313.xml,67,"Afternoon, all.  Where've you been?"
67,00:03:29:18,00:03:31:21,5300410550331962313.xml,68,Mind your own business.  Keeping secrets from your future husband are you?
68,00:03:31:22,00:03:42:02,5300410550331962313.xml,69,"No, I'm just keeping myself busy.  Well, you're busy enough as it is. You're gonna make yourself ill.  Which is why I've made you a nice home-cooked meal. And there is your starter. "
69,00:03:42:03,00:03:42:12,5300410550331962313.xml,70,
70,00:03:42:13,00:03:45:20,5300410550331962313.xml,71,"Will you stop fussing around!  You  know me, I'm as tough as old boots."
71,00:03:45:21,00:03:48:00,5300410550331962313.xml,72,"How can I not fuss, eh?  My girls mean everything to me."
72,00:03:48:01,00:03:49:10,5300410550331962313.xml,73,
73,00:03:49:11,00:03:55:21,5300410550331962313.xml,74,"So, just don't take on anything  extra, all right?  You promise? Yep, promise. "
74,00:03:55:22,00:03:57:10,5300410550331962313.xml,75,
75,00:03:57:11,00:03:58:20,5300410550331962313.xml,76,
76,00:03:58:21,00:03:59:14,5300410550331962313.xml,77,
77,00:03:59:15,00:04:01:05,5300410550331962313.xml,78,
78,00:04:01:06,00:04:01:19,5300410550331962313.xml,79,
79,00:04:01:20,00:04:02:10,5300410550331962313.xml,80,
80,00:04:02:11,00:04:03:04,5300410550331962313.xml,81,
81,00:04:03:05,00:04:05:02,5300410550331962313.xml,82,
82,00:04:05:03,00:04:10:16,5300410550331962313.xml,83,Sorry...  I was just hoping for a word...
83,00:04:10:17,00:04:12:18,5300410550331962313.xml,84,I can come back later. 
84,00:04:12:19,00:04:25:05,5300410550331962313.xml,85,"No, it's fine.  Are you all right?  Mm.  Yeah, fine.  Was there something specific?  Um, yeah.  I hadn't seen you in a while, so I  just wanted to let you know, um..."
85,00:04:25:06,00:04:26:17,5300410550331962313.xml,86,
86,00:04:26:18,00:04:31:02,5300410550331962313.xml,87,"Well, I'm available if you've got  any functions coming up.  If there's anything you need a waitress for."
87,00:04:31:03,00:04:36:09,5300410550331962313.xml,88,"Oh, right, well, when  I've got one, I'll call you."
88,00:04:36:10,00:04:41:03,5300410550331962313.xml,89,As long as it's not tomorrow... 
89,00:04:41:04,00:04:44:09,5300410550331962313.xml,90,or maybe the next day.  I think I'd remember  if we had one tomorrow.
90,00:04:44:10,00:04:48:10,5300410550331962313.xml,91,I'm actually just on my way out.  Because I did what you said. 
91,00:04:48:11,00:04:50:08,5300410550331962313.xml,92,
92,00:04:50:09,00:04:53:17,5300410550331962313.xml,93,"What?  Um, I, er... "
93,00:04:53:18,00:04:55:22,5300410550331962313.xml,94,
94,00:04:55:23,00:04:57:08,5300410550331962313.xml,95,
95,00:04:57:09,00:04:59:15,5300410550331962313.xml,96,
96,00:04:59:16,00:05:01:23,5300410550331962313.xml,97,You booked an abortion? 
97,00:05:01:24,00:05:06:03,5300410550331962313.xml,98,A termination.  Whatever they call it. I'm going tomorrow. 
98,00:05:06:04,00:05:07:16,5300410550331962313.xml,99,Do you still think  it's what I should do?
99,00:05:07:17,00:05:23:21,5300410550331962313.xml,100,"Hang on, I never said that you  should do that in the first place. You didn't tell me not to.  Well, how is that the same thing?! Look it's...your decision.  Yours.  If it's what you want.  OK, just...  tell Stacey to look after you."
100,00:05:23:22,00:05:24:13,5300410550331962313.xml,101,
101,00:05:24:14,00:05:27:16,5300410550331962313.xml,102,Stacey? 
102,00:05:27:17,00:05:29:20,5300410550331962313.xml,103,She doesn't even know. 
103,00:05:29:21,00:05:32:08,5300410550331962313.xml,104,"Well, who's taking you then?  I still don't get it. "
104,00:05:32:09,00:05:34:16,5300410550331962313.xml,105,
105,00:05:34:17,00:05:35:24,5300410550331962313.xml,106,
106,00:05:36:00,00:05:52:22,5300410550331962313.xml,107,"The whole of last year, Jack  was putting by half my wages, setting it towards this. What wages?  I didn't even  think you were getting paid. I was working for him!  What did you think I was  doing while you were doing your homework?  Twiddling my thumbs? I thought you talking about owning  the car lot was a pipe dream. Why didn't you set me straight?"
107,00:05:52:23,00:06:12:09,5300410550331962313.xml,108,"Cos I wanted to surprise you.  And now all I get is this. I just don't see...  no matter  how much money you've earned... He reckons running it is a hassle  he don't need, he got it cheap, and now he just wants shot of it. What about Pat Cars?  I'm practically running  that gaff anyway.  And now that I own the land it stands on,"
108,00:06:12:10,00:06:16:19,5300410550331962313.xml,109,it's only a matter of time before Pat  steps down and I take over full-time.
109,00:06:16:20,00:06:18:02,5300410550331962313.xml,110,"Wow, you've really  thought this through. I have."
110,00:06:18:03,00:06:20:03,5300410550331962313.xml,111,
111,00:06:20:04,00:06:21:07,5300410550331962313.xml,112,"So, you gonna come  and collect the keys with me?"
112,00:06:21:08,00:06:22:08,5300410550331962313.xml,113,
113,00:06:22:09,00:06:30:17,5300410550331962313.xml,114,"No.  I'll meet you  at the car lot later. I've got an idea of my own...  All right. Hey, you two, what about your... "
114,00:06:30:18,00:06:31:10,5300410550331962313.xml,115,
115,00:06:31:11,00:06:32:02,5300410550331962313.xml,116,
116,00:06:32:03,00:06:32:09,5300410550331962313.xml,117,
117,00:06:32:10,00:06:33:06,5300410550331962313.xml,118,What a waste. 
118,00:06:33:07,00:06:33:18,5300410550331962313.xml,119,
119,00:06:33:19,00:06:34:23,5300410550331962313.xml,120,
120,00:06:34:24,00:06:38:00,5300410550331962313.xml,121,They haven't even touched 'em.  Never mind that.  What is my  mother doing behind the counter?
121,00:06:38:01,00:06:39:11,5300410550331962313.xml,122,
122,00:06:39:12,00:06:42:12,5300410550331962313.xml,123,I was gonna ask you  the same question.
123,00:06:42:13,00:06:47:09,5300410550331962313.xml,124,Isn't it enough I have to put up  with her when I get home? Don't pretend you didn't engineer this.
124,00:06:47:10,00:06:51:16,5300410550331962313.xml,125,"I didn't!  She just walked in  and put an apron on. Mum, what are you thinking?  You don't have to work here. I like to make myself useful."
125,00:06:51:17,00:06:52:11,5300410550331962313.xml,126,
126,00:06:52:12,00:06:54:03,5300410550331962313.xml,127,
127,00:06:54:04,00:06:54:23,5300410550331962313.xml,128,
128,00:06:54:24,00:06:58:17,5300410550331962313.xml,129,Have you even had lunch?  Breakfast? 
129,00:06:58:18,00:07:01:09,5300410550331962313.xml,130,I wasn't really hungry this morning.  You haven't been hungry  all weekend!
130,00:07:01:10,00:07:08:19,5300410550331962313.xml,131,"Here.  Have one of these.  Hold on, I was gonna re-sell that. "
131,00:07:08:20,00:07:10:05,5300410550331962313.xml,132,
132,00:07:10:06,00:07:12:08,5300410550331962313.xml,133,"If I come back in and find her  waiting tables, I'm gonna hold you personally responsible."
133,00:07:12:09,00:07:13:08,5300410550331962313.xml,134,
134,00:07:13:09,00:07:16:03,5300410550331962313.xml,135,
135,00:07:16:04,00:07:18:18,5300410550331962313.xml,136,"I'm worried about her, Ian.  She don't seem herself. She looks herself to me."
136,00:07:18:19,00:07:21:13,5300410550331962313.xml,137,"Where are you off to?  If you're not gonna let her work,"
137,00:07:21:14,00:07:23:15,5300410550331962313.xml,138,
138,00:07:23:16,00:07:25:10,5300410550331962313.xml,139,"take her with you,  keep her occupied. I've got to be at the unit all afternoon."
139,00:07:25:11,00:07:26:20,5300410550331962313.xml,140,
140,00:07:26:21,00:07:30:03,5300410550331962313.xml,141,"I'm a businessman,  not a granny-sitter. Just keep an eye on her.  Please?"
141,00:07:30:04,00:07:31:12,5300410550331962313.xml,142,
142,00:07:31:13,00:07:32:24,5300410550331962313.xml,143,
143,00:07:33:00,00:07:34:12,5300410550331962313.xml,144,
144,00:07:34:13,00:07:35:11,5300410550331962313.xml,145,
145,00:07:35:12,00:07:41:14,5300410550331962313.xml,146,Jack!  I was hoping to bump into you. 
146,00:07:41:15,00:07:41:22,5300410550331962313.xml,147,
147,00:07:41:23,00:07:44:11,5300410550331962313.xml,148,"Yeah, well, I'm a busy man.  Well, I hope you've  got five minutes for me."
148,00:07:44:12,00:07:46:16,5300410550331962313.xml,149,
149,00:07:46:17,00:07:51:12,5300410550331962313.xml,150,"Er...shall we go inside?  How long's it gonna take?  Well, not long. "
150,00:07:51:13,00:07:56:06,5300410550331962313.xml,151,"Then we can talk here, can't we?  Go on, spit it out. Well, you know how  it was my 18th last week..."
151,00:07:56:07,00:07:58:03,5300410550331962313.xml,152,
152,00:07:58:04,00:08:02:12,5300410550331962313.xml,153,"Congratulations.  And I was hoping... what with Kevin and Phil, and the  dodgy cars and the tapes...you did promise me the car lot in return."
153,00:08:02:13,00:08:04:15,5300410550331962313.xml,154,
154,00:08:04:16,00:08:05:12,5300410550331962313.xml,155,
155,00:08:05:13,00:08:08:04,5300410550331962313.xml,156,"Listen, I'd completely... "
156,00:08:08:05,00:08:11:03,5300410550331962313.xml,157,"Listen, I can't deal  with it right now, yeah?"
157,00:08:11:04,00:08:11:18,5300410550331962313.xml,158,
158,00:08:11:19,00:08:13:22,5300410550331962313.xml,159,"We'll talk later, yeah? "
159,00:08:13:23,00:08:14:23,5300410550331962313.xml,160,
160,00:08:14:24,00:08:17:07,5300410550331962313.xml,161,
161,00:08:17:08,00:08:26:03,5300410550331962313.xml,162,"Jack.  You been in the club?  Yeah.  So what if I have?  It wasn't a loaded question. I was just asking... I'm sick and tired of begging for  forgiveness.  That club is half mine. If I wanna go there, I will."
162,00:08:26:04,00:08:28:02,5300410550331962313.xml,163,
163,00:08:28:03,00:08:29:05,5300410550331962313.xml,164,
164,00:08:29:06,00:08:31:01,5300410550331962313.xml,165,
165,00:08:31:02,00:08:32:15,5300410550331962313.xml,166,"I only wanted to say...  If it's about the manager's job, forget it."
166,00:08:32:16,00:08:34:11,5300410550331962313.xml,167,
167,00:08:34:12,00:08:35:18,5300410550331962313.xml,168,"You don't have to worry  about Janine.  I put that one to bed. Oh, did you?"
168,00:08:35:19,00:08:37:04,5300410550331962313.xml,169,
169,00:08:37:05,00:08:37:10,5300410550331962313.xml,170,
170,00:08:37:11,00:08:39:10,5300410550331962313.xml,171,
171,00:08:39:11,00:08:40:20,5300410550331962313.xml,172,
172,00:08:40:21,00:08:43:00,5300410550331962313.xml,173,
173,00:08:43:01,00:08:43:09,5300410550331962313.xml,174,
174,00:08:43:10,00:08:43:17,5300410550331962313.xml,175,
175,00:08:43:18,00:08:44:16,5300410550331962313.xml,176,
176,00:08:44:17,00:08:45:24,5300410550331962313.xml,177,
177,00:08:46:00,00:08:50:24,5300410550331962313.xml,178,(Go!) 
178,00:08:51:00,00:08:53:21,5300410550331962313.xml,179,
179,00:08:53:22,00:08:58:02,5300410550331962313.xml,180,
180,00:08:58:03,00:08:59:04,5300410550331962313.xml,181,
181,00:08:59:05,00:08:59:08,5300410550331962313.xml,182,
182,00:08:59:09,00:09:00:06,5300410550331962313.xml,183,"You OK, Bradley? "
183,00:09:00:07,00:09:03:17,5300410550331962313.xml,184,"I thought that mattress was  all right? Yeah, well maybe it was."
184,00:09:03:18,00:09:06:02,5300410550331962313.xml,185,"Ask the dog, he was the one  who slept on it.  Been kicked out of my own bed by a 13-stone lapdog."
185,00:09:06:03,00:09:07:10,5300410550331962313.xml,186,
186,00:09:07:11,00:09:08:16,5300410550331962313.xml,187,
187,00:09:08:17,00:09:10:10,5300410550331962313.xml,188,
188,00:09:10:11,00:09:12:23,5300410550331962313.xml,189,"He likes you, Bradley.  It's sweet.  Not any more, it's not."
189,00:09:12:24,00:09:14:04,5300410550331962313.xml,190,"He's trying to tell you  something. Gumbo, all right? We're going in a minute."
190,00:09:14:05,00:09:15:23,5300410550331962313.xml,191,
191,00:09:15:24,00:09:19:08,5300410550331962313.xml,192,"Give me five minutes,  I'll come with ya. No, Dad, we're not actually going for a walk,"
192,00:09:19:09,00:09:25:12,5300410550331962313.xml,193,"we're going to the ""Seventh  Annual London and Home Counties Dog Breeders and Pedigree Show""."
193,00:09:25:13,00:09:30:06,5300410550331962313.xml,194,"Why, what you doing,  you showing him? Selling him."
194,00:09:30:07,00:09:31:14,5300410550331962313.xml,195,
195,00:09:31:15,00:09:32:16,5300410550331962313.xml,196,
196,00:09:32:17,00:09:35:19,5300410550331962313.xml,197,"Giving him away if I have to.  Bradley, don't. Dad, he eats like a horse.  He needs  a garden, at least two walks a day."
197,00:09:35:20,00:09:39:09,5300410550331962313.xml,198,I've had to take the week off  work just to look after him.
198,00:09:39:10,00:09:42:03,5300410550331962313.xml,199,"I can't afford him.  Time-wise, money-wise, any-wise."
199,00:09:42:04,00:09:44:20,5300410550331962313.xml,200,
200,00:09:44:21,00:09:46:03,5300410550331962313.xml,201,So...dog show it is. 
201,00:09:46:04,00:09:47:21,5300410550331962313.xml,202,I mean there must be someone  who can give him a proper home.
202,00:09:47:22,00:09:49:04,5300410550331962313.xml,203,
203,00:09:49:05,00:09:50:00,5300410550331962313.xml,204,"I'm getting rid of him, OK? "
204,00:09:50:01,00:09:51:04,5300410550331962313.xml,205,
205,00:09:51:05,00:09:53:01,5300410550331962313.xml,206,Even if I have to pay someone  to take him off us...
206,00:09:53:02,00:09:54:13,5300410550331962313.xml,207,
207,00:09:54:14,00:09:58:11,5300410550331962313.xml,208,"Gumbo, come on, Gumbo. "
208,00:09:58:12,00:10:01:18,5300410550331962313.xml,209,
209,00:10:01:19,00:10:07:02,5300410550331962313.xml,210,Looks like they've  left it unattended.
210,00:10:07:03,00:10:08:06,5300410550331962313.xml,211,They must have been called away  to something very urgent.
211,00:10:08:07,00:10:10:06,5300410550331962313.xml,212,
212,00:10:10:07,00:10:11:11,5300410550331962313.xml,213,What a shame.  These won't cook  if they leave the oven now!
213,00:10:11:12,00:10:13:00,5300410550331962313.xml,214,
214,00:10:13:01,00:10:24:03,5300410550331962313.xml,215,"I knew it.  I told you it was a fake.  That phonecall had Beale written all over it. Clarke, please.  Give me some credit.  Samosas.  Oven.  Now. "
215,00:10:24:04,00:10:26:15,5300410550331962313.xml,216,I'm afraid we can't do that.  We've got a function  tomorrow night. And we've got one tomorrow afternoon!
216,00:10:26:16,00:10:32:18,5300410550331962313.xml,217,"Well, if you can't move  your food yourselves,"
217,00:10:32:19,00:10:34:05,5300410550331962313.xml,218,
218,00:10:34:06,00:10:35:07,5300410550331962313.xml,219,then we're just going  to have to help you.
219,00:10:35:08,00:10:35:17,5300410550331962313.xml,220,
220,00:10:35:18,00:10:42:01,5300410550331962313.xml,221,"Oh, you didn't. "
221,00:10:42:02,00:10:44:10,5300410550331962313.xml,222,
222,00:10:44:11,00:10:45:22,5300410550331962313.xml,223,Jane! 
223,00:10:45:23,00:10:54:08,5300410550331962313.xml,224,Zee...  (That's nice. ) Zee!  Stop it! 
224,00:10:54:09,00:10:55:06,5300410550331962313.xml,225,
225,00:10:55:07,00:10:55:20,5300410550331962313.xml,226,
226,00:10:55:21,00:10:58:02,5300410550331962313.xml,227,"Hang on a minute, stop it! "
227,00:10:58:03,00:11:00:11,5300410550331962313.xml,228,
228,00:11:00:12,00:11:03:05,5300410550331962313.xml,229,
229,00:11:03:06,00:11:06:08,5300410550331962313.xml,230,
230,00:11:06:09,00:11:11:19,5300410550331962313.xml,231,
231,00:11:11:20,00:11:14:00,5300410550331962313.xml,232,"Go on, clear off! "
232,00:11:14:01,00:11:44:04,5300410550331962313.xml,233,"My Peg on the internet.  Never thought I'd see the day.  Well, I was looking up some cinema  times. You want us to see a film? Well, I was going with Sal actually.  Because she's shopping in town,  I thought I'd join her. Aren't we a busy little bee, eh?  It's...not a problem, is it? No, why would it be a problem?  Cricket's on the telly, leave me to it. Go on, scoot, you don't  want Sal on your case for missing the beginning, do ya?"
233,00:11:44:05,00:11:46:19,5300410550331962313.xml,234,"Go on.  OK, see you then. Yeah."
234,00:11:46:20,00:11:47:11,5300410550331962313.xml,235,
235,00:11:47:12,00:11:49:00,5300410550331962313.xml,236,
236,00:11:49:01,00:11:49:20,5300410550331962313.xml,237,
237,00:11:49:21,00:11:50:03,5300410550331962313.xml,238,Have a nice time. 
238,00:11:50:04,00:11:54:06,5300410550331962313.xml,239,"Say hello to Sally.  Yeah, will do."
239,00:11:54:07,00:11:55:18,5300410550331962313.xml,240,
240,00:11:55:19,00:11:57:03,5300410550331962313.xml,241,
241,00:11:57:04,00:12:01:24,5300410550331962313.xml,242,How did that...?  Must be one of yours.  Cos I didn't miss.
242,00:12:02:00,00:12:09:21,5300410550331962313.xml,243,You got a talent for this.  Who knew? That move with the chapatti.  Years of Frisbee.  Knew it would  be good for something. Shut up!
243,00:12:09:22,00:12:11:01,5300410550331962313.xml,244,
244,00:12:11:02,00:12:14:01,5300410550331962313.xml,245,Truce?  Is that woman behind you?
245,00:12:14:02,00:12:17:05,5300410550331962313.xml,246,I knew this would come to no good. 
246,00:12:17:06,00:12:18:21,5300410550331962313.xml,247,"Zee, get... !  I'm coming in alone...  I promise."
247,00:12:18:22,00:12:21:22,5300410550331962313.xml,248,What?  I told you not to get  involved with these people. Will you stop it?!
248,00:12:21:23,00:12:23:01,5300410550331962313.xml,249,
249,00:12:23:02,00:12:26:12,5300410550331962313.xml,250,
250,00:12:26:13,00:12:27:16,5300410550331962313.xml,251,Can we just sort this out  like adults?
251,00:12:27:17,00:12:28:24,5300410550331962313.xml,252,
252,00:12:29:00,00:12:30:16,5300410550331962313.xml,253,
253,00:12:30:17,00:12:35:08,5300410550331962313.xml,254,"Zee, will you just... !  What next? "
254,00:12:35:09,00:12:37:11,5300410550331962313.xml,255,Water balloons and stink-bombs? 
255,00:12:37:12,00:12:41:06,5300410550331962313.xml,256,Please don't tell me  I just gave you an idea... Mas...will you let me talk to them?
256,00:12:41:07,00:12:43:08,5300410550331962313.xml,257,
